MET: 00:00:00:000 | Thrust:  0.88 | Chamber Pres: 15.42 | Throttle: 5.00 | Total Impulse: 0.01
MET: 00:00:00:128 | Thrust:  0.94 | Chamber Pres: 17.52 | Throttle: 5.00 | Total Impulse: 0.02
MET: 00:00:00:224 | Thrust:  1.06 | Chamber Pres: 16.12 | Throttle: 10.00 | Total Impulse: 0.03
MET: 00:00:00:340 | Thrust:  1.17 | Chamber Pres: 15.47 | Throttle: 15.00 | Total Impulse: 0.04
MET: 00:00:00:441 | Thrust:  1.11 | Chamber Pres: 16.77 | Throttle: 15.00 | Total Impulse: 0.05
MET: 00:00:00:548 | Thrust:  1.02 | Chamber Pres: 15.22 | Throttle: 20.00 | Total Impulse: 0.06
MET: 00:00:00:605 | Thrust:  1.13 | Chamber Pres: 17.15 | Throttle: 20.00 | Total Impulse: 0.07
MET: 00:00:00:712 | Thrust:  1.03 | Chamber Pres: 15.13 | Throttle: 25.00 | Total Impulse: 0.08
MET: 00:00:00:824 | Thrust:  0.93 | Chamber Pres: 17.09 | Throttle: 25.00 | Total Impulse: 0.09
MET: 00:00:00:937 | Thrust:  1.04 | Chamber Pres: 14.98 | Throttle: 30.00 | Total Impulse: 0.10
MET: 00:00:01:001 | Thrust:  1.13 | Chamber Pres: 17.30 | Throttle: 30.00 | Total Impulse: 0.11
MET: 00:00:01:123 | Thrust:  0.67 | Chamber Pres: 17.07 | Throttle: 30.00 | Total Impulse: 0.12
MET: 00:00:01:235 | Thrust:  0.63 | Chamber Pres: 16.96 | Throttle: 30.00 | Total Impulse: 0.13
MET: 00:00:01:347 | Thrust:  0.65 | Chamber Pres: 16.98 | Throttle: 30.00 | Total Impulse: 0.13
MET: 00:00:01:461 | Thrust:  0.55 | Chamber Pres: 16.65 | Throttle: 25.00 | Total Impulse: 0.14
MET: 00:00:01:515 | Thrust:  1.19 | Chamber Pres: 17.50 | Throttle: 20.00 | Total Impulse: 0.15
MET: 00:00:01:656 | Thrust:  1.52 | Chamber Pres: 16.26 | Throttle: 20.00 | Total Impulse: 0.16
MET: 00:00:01:746 | Thrust:  1.64 | Chamber Pres: 15.81 | Throttle: 15.00 | Total Impulse: 0.18
MET: 00:00:01:835 | Thrust:  1.36 | Chamber Pres: 15.74 | Throttle: 10.00 | Total Impulse: 0.19
MET: 00:00:01:953 | Thrust:  1.66 | Chamber Pres: 16.39 | Throttle: 5.00 | Total Impulse: 0.21
MET: 00:00:02:012 | Thrust:  1.66 | Chamber Pres: 16.39 | Throttle: 5.00 | Total Impulse: -Infinity
MET: 00:00:02:070 | Thrust:  1.51 | Chamber Pres: 15.52 | Throttle: 0.00 | Total Impulse: -Infinity
MET: 00:00:02:137 | Thrust:  1.54 | Chamber Pres: 16.22 | Throttle: 0.00 | Total Impulse: -Infinity
MET: 00:00:02:260 | Thrust:  1.36 | Chamber Pres: 16.75 | Throttle: 0.00 | Total Impulse: -Infinity
MET: 00:00:02:325 | Thrust:  1.30 | Chamber Pres: 16.72 | Throttle: 0.00 | Total Impulse: -Infinity
MET: 00:00:02:439 | Thrust:  1.52 | Chamber Pres: 16.65 | Throttle: 0.00 | Total Impulse: -Infinity
MET: 00:00:02:549 | Thrust:  2.25 | Chamber Pres: 16.65 | Throttle: 0.00 | Total Impulse: -Infinity
MET: 00:00:02:660 | Thrust:  2.41 | Chamber Pres: 16.58 | Throttle: 0.00 | Total Impulse: -Infinity
MET: 00:00:02:770 | Thrust:  1.93 | Chamber Pres: 16.55 | Throttle: 0.00 | Total Impulse: -Infinity
MET: 00:00:02:822 | Thrust:  1.75 | Chamber Pres: 16.68 | Throttle: 0.00 | Total Impulse: -Infinity
MET: 00:00:02:937 | Thrust:  1.54 | Chamber Pres: 16.82 | Throttle: 10.00 | Total Impulse: -Infinity
MET: 00:00:03:058 | Thrust:  1.58 | Chamber Pres: 16.35 | Throttle: 10.00 | Total Impulse: -Infinity
MET: 00:00:03:141 | Thrust:  1.68 | Chamber Pres: 15.83 | Throttle: 15.00 | Total Impulse: -Infinity
MET: 00:00:03:250 | Thrust:  1.30 | Chamber Pres: 14.72 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:03:369 | Thrust:  0.97 | Chamber Pres: 15.03 | Throttle: 30.00 | Total Impulse: -Infinity
MET: 00:00:03:438 | Thrust:  0.54 | Chamber Pres: 16.13 | Throttle: 35.00 | Total Impulse: -Infinity
MET: 00:00:03:561 | Thrust:  0.43 | Chamber Pres: 17.10 | Throttle: 35.00 | Total Impulse: -Infinity
MET: 00:00:03:623 | Thrust:  0.43 | Chamber Pres: 17.10 | Throttle: 35.00 | Total Impulse: -Infinity
MET: 00:00:03:682 | Thrust:  0.40 | Chamber Pres: 16.71 | Throttle: 35.00 | Total Impulse: -Infinity
MET: 00:00:03:785 | Thrust:  0.24 | Chamber Pres: 16.69 | Throttle: 35.00 | Total Impulse: -Infinity
MET: 00:00:03:840 | Thrust:  0.42 | Chamber Pres: 13.77 | Throttle: 45.00 | Total Impulse: -Infinity
MET: 00:00:03:953 | Thrust:  0.82 | Chamber Pres: 15.49 | Throttle: 55.00 | Total Impulse: -Infinity
MET: 00:00:04:072 | Thrust:  1.20 | Chamber Pres: 16.20 | Throttle: 65.00 | Total Impulse: -Infinity
MET: 00:00:04:145 | Thrust:  1.28 | Chamber Pres: 15.95 | Throttle: 65.00 | Total Impulse: -Infinity
