MET: 00:00:00:000 | Thrust:  0.00 | Chamber Pres:  0.88 | Throttle: 5.00 | Total Impulse: 0.00
MET: 00:00:00:161 | Thrust:  0.00 | Chamber Pres: -1.40 | Throttle: 10.00 | Total Impulse: 0.00
MET: 00:00:00:262 | Thrust:  0.00 | Chamber Pres:  0.82 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:00:350 | Thrust:  0.00 | Chamber Pres:  0.80 | Throttle: 25.00 | Total Impulse: 0.00
MET: 00:00:00:430 | Thrust:  0.00 | Chamber Pres:  0.80 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:00:532 | Thrust:  0.00 | Chamber Pres:  0.81 | Throttle: 50.00 | Total Impulse: 0.00
MET: 00:00:00:609 | Thrust:  0.00 | Chamber Pres:  0.81 | Throttle: 55.00 | Total Impulse: 0.00
MET: 00:00:00:698 | Thrust:  0.00 | Chamber Pres:  0.88 | Throttle: 55.00 | Total Impulse: 0.00
MET: 00:00:00:803 | Thrust:  0.00 | Chamber Pres:  0.83 | Throttle: 55.00 | Total Impulse: 0.00
MET: 00:00:00:890 | Thrust:  0.00 | Chamber Pres:  0.86 | Throttle: 50.00 | Total Impulse: 0.00
MET: 00:00:00:999 | Thrust:  0.00 | Chamber Pres:  0.87 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:01:090 | Thrust:  0.00 | Chamber Pres:  0.80 | Throttle: 20.00 | Total Impulse: 0.00
MET: 00:00:01:201 | Thrust:  0.00 | Chamber Pres:  0.83 | Throttle: 5.00 | Total Impulse: 0.00
MET: 00:00:01:299 | Thrust:  0.00 | Chamber Pres:  0.80 | Throttle: 5.00 | Total Impulse: 0.00
MET: 00:00:01:393 | Thrust:  0.00 | Chamber Pres: -2.50 | Throttle: 5.00 | Total Impulse: 0.00
MET: 00:00:01:484 | Thrust:  0.00 | Chamber Pres: -1.17 | Throttle: 10.00 | Total Impulse: 0.00
MET: 00:00:01:561 | Thrust:  0.00 | Chamber Pres:  0.80 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:01:647 | Thrust:  0.00 | Chamber Pres:  0.89 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:01:740 | Thrust:  0.00 | Chamber Pres:  0.84 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:01:851 | Thrust:  0.00 | Chamber Pres:  0.88 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:01:948 | Thrust:  0.00 | Chamber Pres:  0.80 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:02:054 | Thrust:  0.00 | Chamber Pres:  0.87 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:02:163 | Thrust:  0.00 | Chamber Pres:  0.86 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:02:283 | Thrust:  0.00 | Chamber Pres:  0.85 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:02:400 | Thrust:  0.00 | Chamber Pres:  0.86 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:02:535 | Thrust:  0.00 | Chamber Pres:  0.82 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:02:654 | Thrust:  0.00 | Chamber Pres:  0.79 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:02:775 | Thrust:  0.00 | Chamber Pres:  0.77 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:02:894 | Thrust:  0.00 | Chamber Pres:  0.79 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:03:006 | Thrust:  0.00 | Chamber Pres:  0.81 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:03:101 | Thrust:  0.00 | Chamber Pres:  0.81 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:03:197 | Thrust:  0.00 | Chamber Pres:  0.84 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:03:307 | Thrust:  0.00 | Chamber Pres:  0.84 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:03:412 | Thrust:  0.00 | Chamber Pres:  0.81 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:03:505 | Thrust:  0.00 | Chamber Pres:  0.81 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:03:598 | Thrust:  0.00 | Chamber Pres:  0.79 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:03:691 | Thrust:  0.00 | Chamber Pres:  1.35 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:03:794 | Thrust:  0.00 | Chamber Pres: 17.96 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:03:896 | Thrust:  0.00 | Chamber Pres: 15.73 | Throttle: 10.00 | Total Impulse: 0.00
MET: 00:00:03:991 | Thrust:  0.00 | Chamber Pres: 14.07 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:100 | Thrust:  0.00 | Chamber Pres: 17.78 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:198 | Thrust:  0.00 | Chamber Pres: 17.75 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:297 | Thrust:  0.00 | Chamber Pres: 17.75 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:389 | Thrust:  0.00 | Chamber Pres: 17.80 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:488 | Thrust:  0.00 | Chamber Pres: 17.88 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:583 | Thrust:  0.17 | Chamber Pres: 17.75 | Throttle: 0.00 | Total Impulse: 0.02
MET: 00:00:04:683 | Thrust:  0.26 | Chamber Pres: 17.82 | Throttle: 0.00 | Total Impulse: 0.04
MET: 00:00:04:781 | Thrust:  0.27 | Chamber Pres: 17.73 | Throttle: 0.00 | Total Impulse: 0.07
MET: 00:00:04:864 | Thrust:  0.25 | Chamber Pres: 17.75 | Throttle: 0.00 | Total Impulse: 0.10
MET: 00:00:04:950 | Thrust:  0.23 | Chamber Pres: 17.77 | Throttle: 0.00 | Total Impulse: 0.12
MET: 00:00:05:043 | Thrust:  0.16 | Chamber Pres: 17.72 | Throttle: 0.00 | Total Impulse: 0.14
MET: 00:00:05:151 | Thrust:  0.16 | Chamber Pres: 17.75 | Throttle: 0.00 | Total Impulse: 0.15
MET: 00:00:05:239 | Thrust:  0.15 | Chamber Pres: 17.73 | Throttle: 0.00 | Total Impulse: 0.17
MET: 00:00:05:312 | Thrust:  0.13 | Chamber Pres: 17.71 | Throttle: 0.00 | Total Impulse: 0.18
MET: 00:00:05:398 | Thrust:  0.16 | Chamber Pres: 17.75 | Throttle: 0.00 | Total Impulse: 0.20
MET: 00:00:05:503 | Thrust:  0.14 | Chamber Pres: 17.68 | Throttle: 0.00 | Total Impulse: 0.21
MET: 00:00:05:592 | Thrust:  0.06 | Chamber Pres: 17.62 | Throttle: 0.00 | Total Impulse: 0.22
MET: 00:00:05:689 | Thrust:  0.00 | Chamber Pres: 17.67 | Throttle: 0.00 | Total Impulse: 0.22
MET: 00:00:05:791 | Thrust:  0.05 | Chamber Pres: 17.61 | Throttle: 0.00 | Total Impulse: 0.22
MET: 00:00:05:884 | Thrust:  0.09 | Chamber Pres: 17.59 | Throttle: 0.00 | Total Impulse: 0.23
MET: 00:00:05:976 | Thrust:  0.13 | Chamber Pres: 17.59 | Throttle: 0.00 | Total Impulse: 0.24
MET: 00:00:06:059 | Thrust:  0.14 | Chamber Pres: 17.53 | Throttle: 0.00 | Total Impulse: 0.26
MET: 00:00:06:150 | Thrust:  0.01 | Chamber Pres: 17.56 | Throttle: 0.00 | Total Impulse: 0.26
MET: 00:00:06:238 | Thrust:  0.04 | Chamber Pres: 17.59 | Throttle: 0.00 | Total Impulse: 0.26
MET: 00:00:06:338 | Thrust:  0.07 | Chamber Pres: 17.56 | Throttle: 0.00 | Total Impulse: 0.27
MET: 00:00:06:442 | Thrust:  0.12 | Chamber Pres: 17.56 | Throttle: 0.00 | Total Impulse: 0.28
MET: 00:00:06:549 | Thrust:  0.18 | Chamber Pres: 17.51 | Throttle: 0.00 | Total Impulse: 0.30
MET: 00:00:06:643 | Thrust:  0.07 | Chamber Pres: 17.54 | Throttle: 0.00 | Total Impulse: 0.31
MET: 00:00:06:738 | Thrust:  0.14 | Chamber Pres: 17.47 | Throttle: 0.00 | Total Impulse: 0.32
MET: 00:00:06:839 | Thrust:  0.20 | Chamber Pres: 17.45 | Throttle: 0.00 | Total Impulse: 0.34
