MET: 00:00:00:000 | Thrust: -2.40 | Chamber Pres:  1.02 | Throttle: 5.00 | Total Impulse: -0.06
MET: 00:00:00:184 | Thrust: -2.40 | Chamber Pres:  0.95 | Throttle: 5.00 | Total Impulse: -0.12
MET: 00:00:00:301 | Thrust: -2.67 | Chamber Pres:  2.80 | Throttle: 5.00 | Total Impulse: -0.18
MET: 00:00:00:415 | Thrust: -2.67 | Chamber Pres:  3.23 | Throttle: 5.00 | Total Impulse: -0.25
MET: 00:00:00:509 | Thrust: -2.95 | Chamber Pres:  3.37 | Throttle: 5.00 | Total Impulse: -0.32
MET: 00:00:00:612 | Thrust: -2.95 | Chamber Pres:  3.23 | Throttle: 5.00 | Total Impulse: -0.39
MET: 00:00:00:705 | Thrust: -2.94 | Chamber Pres:  3.35 | Throttle: 5.00 | Total Impulse: -0.46
MET: 00:00:00:807 | Thrust: -2.94 | Chamber Pres:  3.18 | Throttle: 5.00 | Total Impulse: -0.53
MET: 00:00:00:906 | Thrust: -2.94 | Chamber Pres:  3.24 | Throttle: 5.00 | Total Impulse: -0.60
MET: 00:00:01:009 | Thrust: -2.63 | Chamber Pres:  3.25 | Throttle: 5.00 | Total Impulse: -0.67
MET: 00:00:01:126 | Thrust: -2.63 | Chamber Pres:  3.39 | Throttle: 5.00 | Total Impulse: -0.73
MET: 00:00:01:216 | Thrust: -2.08 | Chamber Pres:  3.32 | Throttle: 10.00 | Total Impulse: -0.78
MET: 00:00:01:310 | Thrust: -2.08 | Chamber Pres: -0.20 | Throttle: 10.00 | Total Impulse: -0.83
MET: 00:00:01:410 | Thrust: -1.70 | Chamber Pres:  3.11 | Throttle: 10.00 | Total Impulse: -0.88
MET: 00:00:01:520 | Thrust: -1.70 | Chamber Pres:  3.09 | Throttle: 10.00 | Total Impulse: -0.92
MET: 00:00:01:610 | Thrust: -1.70 | Chamber Pres:  2.49 | Throttle: 10.00 | Total Impulse: -0.96
MET: 00:00:01:734 | Thrust: -1.18 | Chamber Pres:  2.66 | Throttle: 10.00 | Total Impulse: -0.99
MET: 00:00:01:910 | Thrust: -1.18 | Chamber Pres:  2.51 | Throttle: 15.00 | Total Impulse: -1.02
MET: 00:00:02:133 | Thrust: -0.92 | Chamber Pres:  1.33 | Throttle: 15.00 | Total Impulse: -1.04
MET: 00:00:02:340 | Thrust: -0.92 | Chamber Pres: -0.42 | Throttle: 15.00 | Total Impulse: -1.06
MET: 00:00:02:469 | Thrust: -0.92 | Chamber Pres:  2.85 | Throttle: 15.00 | Total Impulse: -1.08
MET: 00:00:02:609 | Thrust: -0.92 | Chamber Pres:  2.69 | Throttle: 15.00 | Total Impulse: -1.11
MET: 00:00:02:773 | Thrust: -0.92 | Chamber Pres:  2.04 | Throttle: 15.00 | Total Impulse: -1.13
MET: 00:00:02:897 | Thrust: -1.07 | Chamber Pres:  2.53 | Throttle: 20.00 | Total Impulse: -1.15
MET: 00:00:03:006 | Thrust: -1.07 | Chamber Pres: -1.17 | Throttle: 20.00 | Total Impulse: -1.18
