MET: 00:00:00:118 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:00:229 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:00:327 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:00:466 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:00:558 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:00:609 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:00:755 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:00:852 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:00:950 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:01:049 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:01:167 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:01:225 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:01:397 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:01:487 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:01:583 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:01:648 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:01:747 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:01:844 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:01:941 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:02:039 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:02:136 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:02:234 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:02:333 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:02:431 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:02:583 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:02:644 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:02:741 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:02:838 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:02:936 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:03:037 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:03:135 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:03:233 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:03:436 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:03:503 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:03:555 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:03:654 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:03:756 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:03:855 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:03:954 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:052 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:161 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:260 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:357 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:456 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:582 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:680 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:780 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:878 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:04:962 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:05:056 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:05:167 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:05:268 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:05:377 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:05:479 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:05:578 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:05:684 | Thrust:  0.00 | Chamber Pres:  0.00 | Throttle: 0.00 | Total Impulse: 0.00
