MET: 00:00:00:000 | Thrust:  0.55 | Chamber Pres: 16.12 | Throttle: 10.00 | Total Impulse: 0.06
MET: 00:00:00:127 | Thrust:  0.86 | Chamber Pres: 14.25 | Throttle: 25.00 | Total Impulse: 0.14
MET: 00:00:00:236 | Thrust:  0.70 | Chamber Pres: 14.59 | Throttle: 35.00 | Total Impulse: 0.21
MET: 00:00:00:350 | Thrust:  0.34 | Chamber Pres: 16.58 | Throttle: 40.00 | Total Impulse: 0.25
MET: 00:00:00:411 | Thrust:  0.10 | Chamber Pres: 17.72 | Throttle: 40.00 | Total Impulse: 0.26
MET: 00:00:00:533 | Thrust:  0.00 | Chamber Pres: 17.54 | Throttle: 40.00 | Total Impulse: 0.26
MET: 00:00:00:655 | Thrust:  0.00 | Chamber Pres: 17.48 | Throttle: 40.00 | Total Impulse: 0.26
MET: 00:00:00:720 | Thrust:  0.07 | Chamber Pres: 17.47 | Throttle: 40.00 | Total Impulse: 0.26
MET: 00:00:00:828 | Thrust:  0.30 | Chamber Pres: 17.47 | Throttle: 40.00 | Total Impulse: 0.29
MET: 00:00:00:942 | Thrust:  0.37 | Chamber Pres: 17.47 | Throttle: 40.00 | Total Impulse: 0.33
MET: 00:00:01:055 | Thrust:  0.30 | Chamber Pres: 17.39 | Throttle: 40.00 | Total Impulse: 0.36
MET: 00:00:01:116 | Thrust:  0.46 | Chamber Pres: 17.39 | Throttle: 40.00 | Total Impulse: 0.41
MET: 00:00:01:233 | Thrust:  0.57 | Chamber Pres: 17.43 | Throttle: 40.00 | Total Impulse: 0.47
MET: 00:00:01:332 | Thrust:  0.64 | Chamber Pres: 17.43 | Throttle: 40.00 | Total Impulse: 0.53
MET: 00:00:01:438 | Thrust:  0.72 | Chamber Pres: 17.33 | Throttle: 40.00 | Total Impulse: 0.60
MET: 00:00:01:539 | Thrust:  0.64 | Chamber Pres: 17.32 | Throttle: 40.00 | Total Impulse: 0.67
MET: 00:00:01:656 | Thrust:  0.54 | Chamber Pres: 17.33 | Throttle: 40.00 | Total Impulse: 0.72
MET: 00:00:01:727 | Thrust:  0.66 | Chamber Pres: 17.29 | Throttle: 40.00 | Total Impulse: 0.79
MET: 00:00:01:837 | Thrust:  0.79 | Chamber Pres: 17.21 | Throttle: 40.00 | Total Impulse: 0.87
MET: 00:00:01:949 | Thrust:  0.91 | Chamber Pres: 17.19 | Throttle: 40.00 | Total Impulse: 0.96
MET: 00:00:02:052 | Thrust:  1.04 | Chamber Pres: 17.20 | Throttle: 40.00 | Total Impulse: 1.07
MET: 00:00:02:168 | Thrust:  0.97 | Chamber Pres: 17.20 | Throttle: 40.00 | Total Impulse: 1.16
MET: 00:00:02:219 | Thrust:  0.85 | Chamber Pres: 17.06 | Throttle: 40.00 | Total Impulse: 1.25
MET: 00:00:02:319 | Thrust:  0.69 | Chamber Pres: 16.92 | Throttle: 40.00 | Total Impulse: 1.32
MET: 00:00:02:432 | Thrust:  0.99 | Chamber Pres: 16.91 | Throttle: 40.00 | Total Impulse: 1.42
MET: 00:00:02:534 | Thrust:  1.19 | Chamber Pres: 17.23 | Throttle: 40.00 | Total Impulse: 1.54
MET: 00:00:02:645 | Thrust:  1.48 | Chamber Pres: 17.17 | Throttle: 40.00 | Total Impulse: 1.69
