MET: 00:00:00:000 | Thrust:  0.00 | Chamber Pres: 15.70 | Throttle: 5.00 | Total Impulse: 0.00
MET: 00:00:00:107 | Thrust:  0.00 | Chamber Pres: 13.12 | Throttle: 25.00 | Total Impulse: 0.00
MET: 00:00:00:195 | Thrust:  0.00 | Chamber Pres: 13.50 | Throttle: 50.00 | Total Impulse: 0.00
MET: 00:00:00:293 | Thrust:  0.00 | Chamber Pres: 14.89 | Throttle: 60.00 | Total Impulse: 0.00
MET: 00:00:00:401 | Thrust:  0.00 | Chamber Pres: 17.64 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:00:504 | Thrust:  0.00 | Chamber Pres: 17.79 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:00:596 | Thrust:  0.00 | Chamber Pres: 17.69 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:00:690 | Thrust:  0.00 | Chamber Pres: 17.71 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:00:790 | Thrust:  0.00 | Chamber Pres: 17.78 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:00:886 | Thrust:  0.00 | Chamber Pres: 17.72 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:00:976 | Thrust:  0.00 | Chamber Pres: 17.71 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:01:081 | Thrust:  0.00 | Chamber Pres: 17.70 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:01:179 | Thrust:  0.00 | Chamber Pres: 17.68 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:01:271 | Thrust:  0.00 | Chamber Pres: 17.70 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:01:361 | Thrust:  0.00 | Chamber Pres: 17.63 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:01:455 | Thrust:  0.00 | Chamber Pres: 17.63 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:01:553 | Thrust:  0.00 | Chamber Pres: 17.59 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:01:651 | Thrust:  0.00 | Chamber Pres: 17.59 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:01:744 | Thrust:  0.00 | Chamber Pres: 17.58 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:01:841 | Thrust:  0.01 | Chamber Pres: 17.56 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:01:939 | Thrust:  0.00 | Chamber Pres: 17.51 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:02:018 | Thrust:  0.00 | Chamber Pres: 17.54 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:02:105 | Thrust:  0.00 | Chamber Pres: 17.51 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:02:208 | Thrust:  0.00 | Chamber Pres: 17.46 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:02:304 | Thrust:  0.00 | Chamber Pres: 17.46 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:02:392 | Thrust:  0.00 | Chamber Pres: 17.39 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:02:470 | Thrust:  0.00 | Chamber Pres: 17.39 | Throttle: 65.00 | Total Impulse: 0.00
MET: 00:00:02:550 | Thrust:  0.07 | Chamber Pres: 17.31 | Throttle: 65.00 | Total Impulse: 0.01
MET: 00:00:02:643 | Thrust:  0.26 | Chamber Pres: 17.35 | Throttle: 65.00 | Total Impulse: 0.03
MET: 00:00:02:716 | Thrust:  0.64 | Chamber Pres: 17.34 | Throttle: 65.00 | Total Impulse: 0.10
MET: 00:00:02:799 | Thrust:  0.85 | Chamber Pres: 17.27 | Throttle: 65.00 | Total Impulse: 0.18
MET: 00:00:02:895 | Thrust:  0.82 | Chamber Pres: 17.24 | Throttle: 65.00 | Total Impulse: 0.27
MET: 00:00:02:988 | Thrust:  0.56 | Chamber Pres: 17.21 | Throttle: 65.00 | Total Impulse: 0.32
MET: 00:00:03:071 | Thrust:  0.11 | Chamber Pres: 17.23 | Throttle: 65.00 | Total Impulse: 0.34
MET: 00:00:03:155 | Thrust:  0.00 | Chamber Pres: 17.23 | Throttle: 65.00 | Total Impulse: 0.34
MET: 00:00:03:251 | Thrust:  0.01 | Chamber Pres: 17.16 | Throttle: 65.00 | Total Impulse: 0.34
MET: 00:00:03:347 | Thrust:  0.02 | Chamber Pres: 17.14 | Throttle: 65.00 | Total Impulse: 0.34
MET: 00:00:03:443 | Thrust:  0.00 | Chamber Pres: 17.16 | Throttle: 65.00 | Total Impulse: 0.34
MET: 00:00:03:541 | Thrust:  0.00 | Chamber Pres: 17.11 | Throttle: 65.00 | Total Impulse: 0.34
MET: 00:00:03:634 | Thrust:  0.08 | Chamber Pres: 17.06 | Throttle: 65.00 | Total Impulse: 0.35
MET: 00:00:03:721 | Thrust:  0.36 | Chamber Pres: 17.11 | Throttle: 65.00 | Total Impulse: 0.38
MET: 00:00:03:809 | Thrust:  0.69 | Chamber Pres: 17.06 | Throttle: 65.00 | Total Impulse: 0.45
MET: 00:00:03:904 | Thrust:  0.87 | Chamber Pres: 16.95 | Throttle: 65.00 | Total Impulse: 0.54
MET: 00:00:03:993 | Thrust:  0.94 | Chamber Pres: 16.91 | Throttle: 65.00 | Total Impulse: 0.64
MET: 00:00:04:093 | Thrust:  0.89 | Chamber Pres: 16.94 | Throttle: 65.00 | Total Impulse: 0.73
MET: 00:00:04:181 | Thrust:  0.47 | Chamber Pres: 16.88 | Throttle: 65.00 | Total Impulse: 0.77
MET: 00:00:04:257 | Thrust:  0.22 | Chamber Pres: 16.84 | Throttle: 65.00 | Total Impulse: 0.79
MET: 00:00:04:352 | Thrust:  0.00 | Chamber Pres: 16.86 | Throttle: 65.00 | Total Impulse: 0.79
MET: 00:00:04:446 | Thrust:  0.00 | Chamber Pres: 16.85 | Throttle: 65.00 | Total Impulse: 0.79
MET: 00:00:04:521 | Thrust:  0.14 | Chamber Pres: 16.82 | Throttle: 65.00 | Total Impulse: 0.81
MET: 00:00:04:605 | Thrust:  0.28 | Chamber Pres: 16.69 | Throttle: 65.00 | Total Impulse: 0.84
MET: 00:00:04:675 | Thrust:  0.37 | Chamber Pres: 16.66 | Throttle: 65.00 | Total Impulse: 0.87
MET: 00:00:04:755 | Thrust:  0.20 | Chamber Pres: 16.69 | Throttle: 65.00 | Total Impulse: 0.89
MET: 00:00:04:851 | Thrust:  0.17 | Chamber Pres: 16.69 | Throttle: 65.00 | Total Impulse: 0.91
MET: 00:00:04:941 | Thrust:  0.00 | Chamber Pres: 16.62 | Throttle: 65.00 | Total Impulse: 0.91
