MET: 00:00:00:000 | Thrust:  0.09 | Chamber Pres: 15.18 | Throttle: 10.00 | Total Impulse: 0.00
MET: 00:00:00:127 | Thrust:  0.00 | Chamber Pres: 15.55 | Throttle: 25.00 | Total Impulse: 0.00
MET: 00:00:00:191 | Thrust:  0.00 | Chamber Pres: 15.55 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:00:257 | Thrust:  0.00 | Chamber Pres: 16.42 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:00:339 | Thrust:  0.00 | Chamber Pres: 16.94 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:00:424 | Thrust:  0.00 | Chamber Pres: 16.96 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:00:498 | Thrust:  0.00 | Chamber Pres: 16.96 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:00:562 | Thrust:  0.00 | Chamber Pres: 16.88 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:00:622 | Thrust:  0.00 | Chamber Pres: 16.80 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:00:740 | Thrust:  0.00 | Chamber Pres: 16.78 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:00:798 | Thrust:  0.00 | Chamber Pres: 16.78 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:00:849 | Thrust:  0.00 | Chamber Pres: 16.90 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:00:956 | Thrust:  0.05 | Chamber Pres: 16.88 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:01:009 | Thrust:  0.80 | Chamber Pres: 16.74 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:01:104 | Thrust:  1.17 | Chamber Pres: 16.80 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:01:211 | Thrust:  1.29 | Chamber Pres: 16.84 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:01:343 | Thrust:  1.24 | Chamber Pres: 16.88 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:01:453 | Thrust:  1.23 | Chamber Pres: 17.01 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:01:557 | Thrust:  1.29 | Chamber Pres: 17.11 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:01:613 | Thrust:  1.41 | Chamber Pres: 17.10 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:01:728 | Thrust:  1.49 | Chamber Pres: 17.07 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:01:842 | Thrust:  1.03 | Chamber Pres: 17.02 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:01:962 | Thrust:  0.59 | Chamber Pres: 16.99 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:02:016 | Thrust:  0.34 | Chamber Pres: 16.95 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:02:125 | Thrust:  0.00 | Chamber Pres: 16.97 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:02:240 | Thrust:  0.00 | Chamber Pres: 16.92 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:02:352 | Thrust:  0.00 | Chamber Pres: 16.98 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:02:410 | Thrust:  0.00 | Chamber Pres: 16.98 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:02:468 | Thrust:  0.00 | Chamber Pres: 16.96 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:02:544 | Thrust:  0.25 | Chamber Pres: 16.86 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:02:670 | Thrust:  0.43 | Chamber Pres: 16.86 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:02:799 | Thrust:  0.74 | Chamber Pres: 16.84 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:02:924 | Thrust:  0.92 | Chamber Pres: 16.81 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:02:984 | Thrust:  0.88 | Chamber Pres: 16.79 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:03:047 | Thrust:  1.12 | Chamber Pres: 16.81 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:03:156 | Thrust:  1.20 | Chamber Pres: 16.80 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:03:273 | Thrust:  0.99 | Chamber Pres: 16.73 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:03:329 | Thrust:  0.86 | Chamber Pres: 16.71 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:03:445 | Thrust:  0.72 | Chamber Pres: 16.68 | Throttle: 25.00 | Total Impulse: NaN
