MET: 00:00:00:079 | Thrust: -0.73 | Chamber Pres: 15.51 | Throttle: 0.00 | Total Impulse: -0.01
MET: 00:00:00:138 | Thrust: -0.58 | Chamber Pres: 15.54 | Throttle: 0.00 | Total Impulse: -0.01
MET: 00:00:00:248 | Thrust: -0.66 | Chamber Pres: 15.56 | Throttle: 0.00 | Total Impulse: -0.02
MET: 00:00:00:352 | Thrust: -0.93 | Chamber Pres: 15.35 | Throttle: 0.00 | Total Impulse: -0.03
MET: 00:00:00:460 | Thrust: -0.91 | Chamber Pres: 15.54 | Throttle: 0.00 | Total Impulse: -0.04
MET: 00:00:00:510 | Thrust: -0.91 | Chamber Pres: 15.54 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:00:570 | Thrust: -1.41 | Chamber Pres: 15.48 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:00:637 | Thrust: -1.35 | Chamber Pres: 15.41 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:00:750 | Thrust: -1.29 | Chamber Pres: 15.52 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:00:867 | Thrust: -1.37 | Chamber Pres: 15.34 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:00:923 | Thrust: -0.76 | Chamber Pres: 15.54 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:01:029 | Thrust: -0.70 | Chamber Pres: 15.29 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:01:145 | Thrust: -1.14 | Chamber Pres: 15.36 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:01:229 | Thrust: -1.34 | Chamber Pres: 15.33 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:01:329 | Thrust: -1.55 | Chamber Pres: 15.41 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:01:425 | Thrust: -1.98 | Chamber Pres: 15.47 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:01:517 | Thrust: -1.98 | Chamber Pres: 15.47 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:01:562 | Thrust: -2.19 | Chamber Pres: 15.59 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:01:681 | Thrust: -2.27 | Chamber Pres: 15.35 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:01:730 | Thrust: -2.36 | Chamber Pres: 15.34 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:01:827 | Thrust: -2.36 | Chamber Pres: 15.34 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:01:879 | Thrust: -2.21 | Chamber Pres: 15.57 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:01:941 | Thrust: -2.15 | Chamber Pres: 15.53 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:02:028 | Thrust: -1.79 | Chamber Pres: 15.36 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:02:142 | Thrust: -1.84 | Chamber Pres: 15.56 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:02:235 | Thrust: -1.74 | Chamber Pres: 15.35 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:02:386 | Thrust: -1.18 | Chamber Pres: 15.41 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:02:469 | Thrust: -0.94 | Chamber Pres: 15.35 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:02:566 | Thrust: -0.21 | Chamber Pres: 15.41 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:02:669 | Thrust:  0.64 | Chamber Pres: 15.23 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:02:734 | Thrust:  0.45 | Chamber Pres: 15.47 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:02:886 | Thrust: -0.10 | Chamber Pres: 15.34 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:02:940 | Thrust: -0.94 | Chamber Pres: 15.54 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:03:041 | Thrust: -1.25 | Chamber Pres: 15.34 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:03:215 | Thrust: -1.09 | Chamber Pres: 15.54 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:03:268 | Thrust: -0.81 | Chamber Pres: 15.37 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:03:371 | Thrust: -0.50 | Chamber Pres: 15.55 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:03:479 | Thrust: -0.07 | Chamber Pres: 15.63 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:03:584 | Thrust: -0.28 | Chamber Pres: 15.55 | Throttle: 0.00 | Total Impulse: Infinity
