MET: 00:00:00:000 | Thrust:  2.20 | Chamber Pres: 14.68 | Throttle: 15.00 | Total Impulse: 0.02
MET: 00:00:00:080 | Thrust:  2.14 | Chamber Pres: 13.46 | Throttle: 35.00 | Total Impulse: 0.04
MET: 00:00:00:206 | Thrust:  2.04 | Chamber Pres: 16.93 | Throttle: 40.00 | Total Impulse: 0.06
MET: 00:00:00:281 | Thrust:  1.70 | Chamber Pres: 17.70 | Throttle: 40.00 | Total Impulse: 0.08
MET: 00:00:00:377 | Thrust:  1.57 | Chamber Pres: 17.65 | Throttle: 40.00 | Total Impulse: 0.10
MET: 00:00:00:522 | Thrust:  1.52 | Chamber Pres: 17.62 | Throttle: 40.00 | Total Impulse: 0.11
MET: 00:00:00:578 | Thrust:  1.66 | Chamber Pres: 17.56 | Throttle: 40.00 | Total Impulse: 0.13
MET: 00:00:00:719 | Thrust:  1.92 | Chamber Pres: 17.61 | Throttle: 40.00 | Total Impulse: 0.15
MET: 00:00:00:789 | Thrust:  2.03 | Chamber Pres: 17.55 | Throttle: 40.00 | Total Impulse: 0.17
MET: 00:00:00:957 | Thrust:  2.03 | Chamber Pres: 17.60 | Throttle: 40.00 | Total Impulse: 0.19
MET: 00:00:01:052 | Thrust:  1.94 | Chamber Pres: 17.58 | Throttle: 40.00 | Total Impulse: 0.21
MET: 00:00:01:146 | Thrust:  1.87 | Chamber Pres: 17.61 | Throttle: 40.00 | Total Impulse: 0.22
MET: 00:00:01:254 | Thrust:  1.86 | Chamber Pres: 17.54 | Throttle: 40.00 | Total Impulse: 0.24
MET: 00:00:01:347 | Thrust:  1.92 | Chamber Pres: 17.54 | Throttle: 40.00 | Total Impulse: 0.26
MET: 00:00:01:420 | Thrust:  1.93 | Chamber Pres: 17.58 | Throttle: 40.00 | Total Impulse: 0.28
MET: 00:00:01:546 | Thrust:  1.98 | Chamber Pres: 17.55 | Throttle: 40.00 | Total Impulse: 0.30
MET: 00:00:01:607 | Thrust:  1.99 | Chamber Pres: 17.56 | Throttle: 40.00 | Total Impulse: 0.32
MET: 00:00:01:768 | Thrust:  2.01 | Chamber Pres: 17.54 | Throttle: 40.00 | Total Impulse: 0.34
MET: 00:00:01:903 | Thrust:  2.00 | Chamber Pres: 17.58 | Throttle: 40.00 | Total Impulse: 0.36
MET: 00:00:02:025 | Thrust:  1.91 | Chamber Pres: 17.54 | Throttle: 40.00 | Total Impulse: 0.38
MET: 00:00:02:136 | Thrust:  1.92 | Chamber Pres: 17.57 | Throttle: 40.00 | Total Impulse: 0.40
MET: 00:00:02:195 | Thrust:  1.92 | Chamber Pres: 17.49 | Throttle: 40.00 | Total Impulse: 0.42
MET: 00:00:02:249 | Thrust:  1.94 | Chamber Pres: 17.50 | Throttle: 40.00 | Total Impulse: 0.44
MET: 00:00:02:300 | Thrust:  2.09 | Chamber Pres: 17.47 | Throttle: 40.00 | Total Impulse: 0.46
MET: 00:00:02:408 | Thrust:  2.17 | Chamber Pres: 17.49 | Throttle: 40.00 | Total Impulse: 0.48
MET: 00:00:02:518 | Thrust:  2.15 | Chamber Pres: 17.47 | Throttle: 40.00 | Total Impulse: 0.50
MET: 00:00:02:626 | Thrust:  2.16 | Chamber Pres: 17.48 | Throttle: 40.00 | Total Impulse: 0.52
MET: 00:00:02:743 | Thrust:  2.07 | Chamber Pres: 17.49 | Throttle: 40.00 | Total Impulse: 0.54
MET: 00:00:02:801 | Thrust:  1.94 | Chamber Pres: 17.48 | Throttle: 40.00 | Total Impulse: 0.56
MET: 00:00:02:925 | Thrust:  1.99 | Chamber Pres: 17.45 | Throttle: 40.00 | Total Impulse: 0.58
MET: 00:00:03:038 | Thrust:  2.06 | Chamber Pres: 17.43 | Throttle: 40.00 | Total Impulse: 0.60
MET: 00:00:03:152 | Thrust:  2.22 | Chamber Pres: 17.45 | Throttle: 40.00 | Total Impulse: 0.62
MET: 00:00:03:203 | Thrust:  2.64 | Chamber Pres: 17.37 | Throttle: 40.00 | Total Impulse: 0.65
MET: 00:00:03:310 | Thrust:  4.04 | Chamber Pres: 17.36 | Throttle: 40.00 | Total Impulse: 0.69
MET: 00:00:03:416 | Thrust:  6.28 | Chamber Pres: 17.31 | Throttle: 40.00 | Total Impulse: 0.75
MET: 00:00:03:528 | Thrust:  6.48 | Chamber Pres: 17.32 | Throttle: 40.00 | Total Impulse: 0.81
MET: 00:00:03:625 | Thrust:  5.02 | Chamber Pres: 17.30 | Throttle: 40.00 | Total Impulse: 0.86
MET: 00:00:03:733 | Thrust:  2.58 | Chamber Pres: 17.30 | Throttle: 40.00 | Total Impulse: 0.89
MET: 00:00:03:840 | Thrust:  1.70 | Chamber Pres: 17.24 | Throttle: 40.00 | Total Impulse: 0.91
MET: 00:00:03:947 | Thrust:  1.57 | Chamber Pres: 17.28 | Throttle: 40.00 | Total Impulse: 0.92
MET: 00:00:04:058 | Thrust:  1.47 | Chamber Pres: 17.23 | Throttle: 40.00 | Total Impulse: 0.94
MET: 00:00:04:115 | Thrust:  1.52 | Chamber Pres: 17.27 | Throttle: 40.00 | Total Impulse: 0.95
MET: 00:00:04:233 | Thrust:  1.39 | Chamber Pres: 17.23 | Throttle: 40.00 | Total Impulse: 0.97
MET: 00:00:04:354 | Thrust:  1.53 | Chamber Pres: 17.25 | Throttle: 40.00 | Total Impulse: 0.98
MET: 00:00:04:414 | Thrust:  1.86 | Chamber Pres: 17.20 | Throttle: 40.00 | Total Impulse: 1.00
MET: 00:00:04:535 | Thrust:  1.81 | Chamber Pres: 17.21 | Throttle: 40.00 | Total Impulse: 1.02
