MET: 00:00:00:000 | Thrust:  0.00 | Chamber Pres: 16.65 | Throttle: 30.00 | Total Impulse: 0.00
MET: 00:00:00:264 | Thrust:  0.20 | Chamber Pres: 17.19 | Throttle: 30.00 | Total Impulse: -1.98
MET: 00:00:00:371 | Thrust:  0.01 | Chamber Pres: 17.18 | Throttle: 30.00 | Total Impulse: -2.08
MET: 00:00:00:461 | Thrust: -0.11 | Chamber Pres: 17.19 | Throttle: 30.00 | Total Impulse: -0.99
MET: 00:00:00:545 | Thrust:  0.28 | Chamber Pres: 17.15 | Throttle: 30.00 | Total Impulse: -3.76
MET: 00:00:00:619 | Thrust:  0.07 | Chamber Pres: 17.14 | Throttle: 30.00 | Total Impulse: -4.45
MET: 00:00:00:694 | Thrust:  0.33 | Chamber Pres: 17.16 | Throttle: 30.00 | Total Impulse: -7.72
MET: 00:00:00:776 | Thrust:  0.63 | Chamber Pres: 17.16 | Throttle: 30.00 | Total Impulse: -13.95
MET: 00:00:00:854 | Thrust:  0.65 | Chamber Pres: 17.16 | Throttle: 30.00 | Total Impulse: -20.39
MET: 00:00:00:928 | Thrust:  0.80 | Chamber Pres: 17.18 | Throttle: 30.00 | Total Impulse: -28.31
MET: 00:00:01:010 | Thrust:  0.39 | Chamber Pres: 17.13 | Throttle: 30.00 | Total Impulse: -32.17
MET: 00:00:01:081 | Thrust: -0.34 | Chamber Pres: 17.17 | Throttle: 30.00 | Total Impulse: -28.81
MET: 00:00:01:149 | Thrust: -0.69 | Chamber Pres: 17.14 | Throttle: 30.00 | Total Impulse: -21.97
MET: 00:00:01:226 | Thrust: -0.81 | Chamber Pres: 17.18 | Throttle: 30.00 | Total Impulse: -13.95
MET: 00:00:01:316 | Thrust: -0.45 | Chamber Pres: 17.20 | Throttle: 30.00 | Total Impulse: -9.50
MET: 00:00:01:422 | Thrust:  0.03 | Chamber Pres: 17.22 | Throttle: 30.00 | Total Impulse: -9.80
MET: 00:00:01:525 | Thrust:  0.25 | Chamber Pres: 17.20 | Throttle: 30.00 | Total Impulse: -12.27
MET: 00:00:01:623 | Thrust: -0.10 | Chamber Pres: 17.19 | Throttle: 30.00 | Total Impulse: -11.28
MET: 00:00:01:708 | Thrust: -0.24 | Chamber Pres: 17.20 | Throttle: 30.00 | Total Impulse: -8.90
MET: 00:00:01:772 | Thrust: -0.05 | Chamber Pres: 17.19 | Throttle: 30.00 | Total Impulse: -8.41
MET: 00:00:01:838 | Thrust: -0.05 | Chamber Pres: 17.14 | Throttle: 30.00 | Total Impulse: -7.91
MET: 00:00:01:904 | Thrust:  0.14 | Chamber Pres: 17.17 | Throttle: 30.00 | Total Impulse: -9.30
MET: 00:00:01:970 | Thrust:  0.17 | Chamber Pres: 17.14 | Throttle: 30.00 | Total Impulse: -10.98
MET: 00:00:02:033 | Thrust:  0.00 | Chamber Pres: 17.13 | Throttle: 30.00 | Total Impulse: -10.98
MET: 00:00:02:089 | Thrust:  0.53 | Chamber Pres: 17.14 | Throttle: 30.00 | Total Impulse: -16.18
MET: 00:00:02:153 | Thrust:  0.78 | Chamber Pres: 17.16 | Throttle: 30.00 | Total Impulse: -23.90
MET: 00:00:02:220 | Thrust:  1.12 | Chamber Pres: 17.17 | Throttle: 30.00 | Total Impulse: -34.99
MET: 00:00:02:366 | Thrust:  1.33 | Chamber Pres: 17.14 | Throttle: 35.00 | Total Impulse: -48.16
MET: 00:00:02:441 | Thrust:  1.12 | Chamber Pres: 14.94 | Throttle: 40.00 | Total Impulse: -59.25
MET: 00:00:02:509 | Thrust:  0.92 | Chamber Pres: 14.63 | Throttle: 55.00 | Total Impulse: -68.36
MET: 00:00:02:638 | Thrust:  0.06 | Chamber Pres: 16.98 | Throttle: 55.00 | Total Impulse: -68.95
MET: 00:00:02:703 | Thrust: -0.67 | Chamber Pres: 17.43 | Throttle: 55.00 | Total Impulse: -62.32
MET: 00:00:02:830 | Thrust: -0.86 | Chamber Pres: 17.35 | Throttle: 55.00 | Total Impulse: -53.80
MET: 00:00:02:937 | Thrust: -0.90 | Chamber Pres: 17.34 | Throttle: 55.00 | Total Impulse: -44.89
MET: 00:00:03:051 | Thrust: -0.25 | Chamber Pres: 17.31 | Throttle: 55.00 | Total Impulse: -42.42
MET: 00:00:03:105 | Thrust:  0.18 | Chamber Pres: 17.34 | Throttle: 55.00 | Total Impulse: -44.20
MET: 00:00:03:215 | Thrust:  0.23 | Chamber Pres: 14.53 | Throttle: 35.00 | Total Impulse: -46.48
MET: 00:00:03:337 | Thrust:  0.22 | Chamber Pres: 13.17 | Throttle: 15.00 | Total Impulse: -48.65
MET: 00:00:03:443 | Thrust:  0.25 | Chamber Pres: 17.04 | Throttle: 10.00 | Total Impulse: -51.13
MET: 00:00:03:560 | Thrust:  0.27 | Chamber Pres: 17.61 | Throttle: 10.00 | Total Impulse: -53.80
MET: 00:00:03:618 | Thrust:  0.11 | Chamber Pres: 17.56 | Throttle: 10.00 | Total Impulse: -54.89
MET: 00:00:03:728 | Thrust: -0.01 | Chamber Pres: 17.56 | Throttle: 5.00 | Total Impulse: -54.79
MET: 00:00:03:840 | Thrust: -0.22 | Chamber Pres: 14.48 | Throttle: 0.00 | Total Impulse: -52.62
MET: 00:00:03:944 | Thrust: -0.22 | Chamber Pres: 17.13 | Throttle: 0.00 | Total Impulse: -50.46
MET: 00:00:04:059 | Thrust: -0.18 | Chamber Pres: 16.83 | Throttle: 0.00 | Total Impulse: -48.68
MET: 00:00:04:110 | Thrust: -0.08 | Chamber Pres: 16.87 | Throttle: 0.00 | Total Impulse: -47.88
MET: 00:00:04:264 | Thrust:  0.09 | Chamber Pres: 16.83 | Throttle: 0.00 | Total Impulse: -48.77
MET: 00:00:04:368 | Thrust:  0.42 | Chamber Pres: 16.75 | Throttle: 0.00 | Total Impulse: -52.93
MET: 00:00:04:422 | Thrust:  0.75 | Chamber Pres: 16.73 | Throttle: 0.00 | Total Impulse: -60.36
MET: 00:00:04:544 | Thrust:  1.13 | Chamber Pres: 16.72 | Throttle: 0.00 | Total Impulse: -71.55
MET: 00:00:04:647 | Thrust:  1.20 | Chamber Pres: 16.59 | Throttle: 0.00 | Total Impulse: -83.43
MET: 00:00:04:744 | Thrust:  1.01 | Chamber Pres: 16.59 | Throttle: 0.00 | Total Impulse: -93.43
MET: 00:00:04:861 | Thrust:  0.90 | Chamber Pres: 16.58 | Throttle: 0.00 | Total Impulse: -102.34
MET: 00:00:04:965 | Thrust:  0.82 | Chamber Pres: 16.53 | Throttle: 0.00 | Total Impulse: -110.46
MET: 00:00:05:032 | Thrust:  0.97 | Chamber Pres: 16.39 | Throttle: 0.00 | Total Impulse: -120.06
MET: 00:00:05:161 | Thrust:  1.35 | Chamber Pres: 16.54 | Throttle: 0.00 | Total Impulse: -133.43
MET: 00:00:05:277 | Thrust:  0.87 | Chamber Pres: 16.64 | Throttle: 0.00 | Total Impulse: -142.04
MET: 00:00:05:328 | Thrust:  0.30 | Chamber Pres: 16.53 | Throttle: 0.00 | Total Impulse: -145.01
MET: 00:00:05:469 | Thrust: -0.08 | Chamber Pres: 16.51 | Throttle: 0.00 | Total Impulse: -144.22
MET: 00:00:05:533 | Thrust: -0.46 | Chamber Pres: 16.48 | Throttle: 0.00 | Total Impulse: -139.67
MET: 00:00:05:664 | Thrust:  0.12 | Chamber Pres: 16.49 | Throttle: 0.00 | Total Impulse: -140.85
MET: 00:00:05:727 | Thrust:  0.31 | Chamber Pres: 16.40 | Throttle: 0.00 | Total Impulse: -143.92
MET: 00:00:05:889 | Thrust:  0.31 | Chamber Pres: 16.37 | Throttle: 0.00 | Total Impulse: -146.96
MET: 00:00:05:977 | Thrust:  0.07 | Chamber Pres: 16.34 | Throttle: 0.00 | Total Impulse: -147.66
MET: 00:00:06:031 | Thrust: -0.66 | Chamber Pres: 16.32 | Throttle: 0.00 | Total Impulse: -141.12
MET: 00:00:06:146 | Thrust: -0.63 | Chamber Pres: 16.33 | Throttle: 0.00 | Total Impulse: -134.88
MET: 00:00:06:260 | Thrust: -0.39 | Chamber Pres: 16.41 | Throttle: 0.00 | Total Impulse: -131.02
MET: 00:00:06:382 | Thrust:  0.19 | Chamber Pres: 16.39 | Throttle: 0.00 | Total Impulse: -132.90
MET: 00:00:06:449 | Thrust:  0.68 | Chamber Pres: 16.31 | Throttle: 0.00 | Total Impulse: -139.64
MET: 00:00:06:593 | Thrust:  0.76 | Chamber Pres: 16.26 | Throttle: 0.00 | Total Impulse: -147.16
MET: 00:00:06:669 | Thrust:  0.48 | Chamber Pres: 16.17 | Throttle: 0.00 | Total Impulse: -151.91
MET: 00:00:06:734 | Thrust:  0.85 | Chamber Pres: 16.20 | Throttle: 0.00 | Total Impulse: -160.33
MET: 00:00:06:847 | Thrust:  0.87 | Chamber Pres: 16.21 | Throttle: 0.00 | Total Impulse: -168.94
MET: 00:00:06:965 | Thrust:  0.51 | Chamber Pres: 16.08 | Throttle: 0.00 | Total Impulse: -173.99
MET: 00:00:07:084 | Thrust:  0.05 | Chamber Pres: 16.02 | Throttle: 0.00 | Total Impulse: -174.49
MET: 00:00:07:204 | Thrust: -0.22 | Chamber Pres: 16.04 | Throttle: 0.00 | Total Impulse: -172.31
MET: 00:00:07:265 | Thrust:  0.25 | Chamber Pres: 16.01 | Throttle: 0.00 | Total Impulse: -174.78
MET: 00:00:07:352 | Thrust:  0.94 | Chamber Pres: 15.90 | Throttle: 0.00 | Total Impulse: -184.09
MET: 00:00:07:456 | Thrust:  1.44 | Chamber Pres: 15.84 | Throttle: 0.00 | Total Impulse: -198.35
MET: 00:00:07:575 | Thrust:  0.95 | Chamber Pres: 15.88 | Throttle: 0.00 | Total Impulse: -207.75
MET: 00:00:07:682 | Thrust: -0.03 | Chamber Pres: 15.87 | Throttle: 0.00 | Total Impulse: -207.46
MET: 00:00:07:804 | Thrust: -0.94 | Chamber Pres: 15.83 | Throttle: 0.00 | Total Impulse: -198.24
MET: 00:00:07:866 | Thrust: -1.16 | Chamber Pres: 15.79 | Throttle: 0.00 | Total Impulse: -186.76
MET: 00:00:07:988 | Thrust: -1.10 | Chamber Pres: 15.64 | Throttle: 0.00 | Total Impulse: -175.87
MET: 00:00:08:052 | Thrust: -1.10 | Chamber Pres: 15.64 | Throttle: 0.00 | Total Impulse: -Infinity
MET: 00:00:08:114 | Thrust: -1.29 | Chamber Pres: 15.65 | Throttle: 0.00 | Total Impulse: -Infinity
