MET: 00:00:00:064 | Thrust:  0.54 | Chamber Pres: 14.99 | Throttle: 0.00 | Total Impulse: 0.05
MET: 00:00:00:122 | Thrust:  0.16 | Chamber Pres: 15.04 | Throttle: 0.00 | Total Impulse: 0.07
MET: 00:00:00:260 | Thrust:  0.13 | Chamber Pres: 15.02 | Throttle: 0.00 | Total Impulse: 0.08
MET: 00:00:00:328 | Thrust:  0.00 | Chamber Pres: 14.97 | Throttle: 0.00 | Total Impulse: 0.08
MET: 00:00:00:444 | Thrust:  0.07 | Chamber Pres: 15.07 | Throttle: 0.00 | Total Impulse: 0.09
MET: 00:00:00:564 | Thrust:  0.74 | Chamber Pres: 15.18 | Throttle: 0.00 | Total Impulse: 0.17
MET: 00:00:00:616 | Thrust:  1.42 | Chamber Pres: 14.95 | Throttle: 0.00 | Total Impulse: 0.31
MET: 00:00:00:729 | Thrust:  1.61 | Chamber Pres: 15.01 | Throttle: 0.00 | Total Impulse: 0.47
MET: 00:00:00:861 | Thrust:  1.58 | Chamber Pres: 14.99 | Throttle: 0.00 | Total Impulse: 0.63
MET: 00:00:00:967 | Thrust:  1.32 | Chamber Pres: 15.04 | Throttle: 0.00 | Total Impulse: 0.76
MET: 00:00:01:020 | Thrust:  1.32 | Chamber Pres: 15.04 | Throttle: 0.00 | Total Impulse: 0.76
MET: 00:00:01:077 | Thrust:  1.19 | Chamber Pres: 14.82 | Throttle: 0.00 | Total Impulse: 0.88
MET: 00:00:01:149 | Thrust:  1.61 | Chamber Pres: 15.12 | Throttle: 0.00 | Total Impulse: 1.05
MET: 00:00:01:218 | Thrust:  1.93 | Chamber Pres: 15.13 | Throttle: 0.00 | Total Impulse: 1.24
MET: 00:00:01:338 | Thrust:  1.60 | Chamber Pres: 15.03 | Throttle: 0.00 | Total Impulse: 1.40
MET: 00:00:01:450 | Thrust:  1.08 | Chamber Pres: 14.92 | Throttle: 0.00 | Total Impulse: 1.51
MET: 00:00:01:562 | Thrust:  0.71 | Chamber Pres: 14.98 | Throttle: 0.00 | Total Impulse: 1.58
MET: 00:00:01:618 | Thrust:  0.64 | Chamber Pres: 15.14 | Throttle: 0.00 | Total Impulse: 1.65
MET: 00:00:01:740 | Thrust:  0.49 | Chamber Pres: 14.91 | Throttle: 0.00 | Total Impulse: 1.70
MET: 00:00:01:832 | Thrust:  0.71 | Chamber Pres: 14.91 | Throttle: 0.00 | Total Impulse: 1.77
MET: 00:00:01:955 | Thrust:  0.62 | Chamber Pres: 15.20 | Throttle: 0.00 | Total Impulse: 1.83
MET: 00:00:02:069 | Thrust:  0.78 | Chamber Pres: 15.04 | Throttle: 0.00 | Total Impulse: 1.91
MET: 00:00:02:194 | Thrust:  1.20 | Chamber Pres: 15.02 | Throttle: 0.00 | Total Impulse: 2.03
MET: 00:00:02:260 | Thrust:  0.92 | Chamber Pres: 14.99 | Throttle: 0.00 | Total Impulse: 2.13
MET: 00:00:02:373 | Thrust:  0.87 | Chamber Pres: 15.02 | Throttle: 0.00 | Total Impulse: 2.21
MET: 00:00:02:480 | Thrust:  1.13 | Chamber Pres: 14.97 | Throttle: 0.00 | Total Impulse: 2.33
MET: 00:00:02:535 | Thrust:  1.28 | Chamber Pres: 14.88 | Throttle: 0.00 | Total Impulse: 2.46
MET: 00:00:02:654 | Thrust:  1.27 | Chamber Pres: 14.93 | Throttle: 0.00 | Total Impulse: 2.59
MET: 00:00:02:765 | Thrust:  1.16 | Chamber Pres: 15.01 | Throttle: 0.00 | Total Impulse: 2.70
MET: 00:00:02:880 | Thrust:  0.72 | Chamber Pres: 15.08 | Throttle: 0.00 | Total Impulse: 2.78
MET: 00:00:02:939 | Thrust:  0.72 | Chamber Pres: 15.08 | Throttle: 0.00 | Total Impulse: 2.78
MET: 00:00:02:991 | Thrust:  0.32 | Chamber Pres: 14.95 | Throttle: 0.00 | Total Impulse: 2.81
MET: 00:00:03:058 | Thrust:  0.61 | Chamber Pres: 15.03 | Throttle: 0.00 | Total Impulse: 2.87
MET: 00:00:03:197 | Thrust:  0.90 | Chamber Pres: 15.10 | Throttle: 0.00 | Total Impulse: 2.96
MET: 00:00:03:270 | Thrust:  0.86 | Chamber Pres: 14.95 | Throttle: 0.00 | Total Impulse: 3.05
MET: 00:00:03:386 | Thrust:  0.78 | Chamber Pres: 15.03 | Throttle: 0.00 | Total Impulse: 3.13
MET: 00:00:03:445 | Thrust:  0.38 | Chamber Pres: 15.08 | Throttle: 0.00 | Total Impulse: 3.17
MET: 00:00:03:560 | Thrust:  0.44 | Chamber Pres: 15.02 | Throttle: 0.00 | Total Impulse: 3.21
MET: 00:00:03:679 | Thrust:  0.56 | Chamber Pres: 15.04 | Throttle: 0.00 | Total Impulse: 3.27
MET: 00:00:03:748 | Thrust:  0.88 | Chamber Pres: 14.96 | Throttle: 0.00 | Total Impulse: 3.36
MET: 00:00:03:877 | Thrust:  1.22 | Chamber Pres: 15.03 | Throttle: 0.00 | Total Impulse: 3.48
MET: 00:00:03:966 | Thrust:  1.57 | Chamber Pres: 15.06 | Throttle: 0.00 | Total Impulse: 3.64
MET: 00:00:04:084 | Thrust:  1.92 | Chamber Pres: 14.97 | Throttle: 0.00 | Total Impulse: 3.83
MET: 00:00:04:148 | Thrust:  1.93 | Chamber Pres: 15.10 | Throttle: 0.00 | Total Impulse: 4.03
MET: 00:00:04:284 | Thrust:  1.89 | Chamber Pres: 15.02 | Throttle: 0.00 | Total Impulse: 4.22
MET: 00:00:04:416 | Thrust:  1.38 | Chamber Pres: 15.02 | Throttle: 0.00 | Total Impulse: 4.36
MET: 00:00:04:478 | Thrust:  0.92 | Chamber Pres: 15.04 | Throttle: 0.00 | Total Impulse: 4.45
MET: 00:00:04:591 | Thrust:  0.61 | Chamber Pres: 15.05 | Throttle: 0.00 | Total Impulse: 4.51
MET: 00:00:04:703 | Thrust:  0.19 | Chamber Pres: 15.01 | Throttle: 0.00 | Total Impulse: 4.53
MET: 00:00:04:767 | Thrust:  0.63 | Chamber Pres: 15.09 | Throttle: 0.00 | Total Impulse: 4.59
MET: 00:00:04:885 | Thrust:  0.97 | Chamber Pres: 14.97 | Throttle: 0.00 | Total Impulse: 4.69
MET: 00:00:05:003 | Thrust:  1.17 | Chamber Pres: 14.99 | Throttle: 0.00 | Total Impulse: 4.81
MET: 00:00:05:061 | Thrust:  1.29 | Chamber Pres: 15.00 | Throttle: 0.00 | Total Impulse: 4.94
MET: 00:00:05:178 | Thrust:  1.01 | Chamber Pres: 15.03 | Throttle: 0.00 | Total Impulse: 5.04
MET: 00:00:05:328 | Thrust:  1.11 | Chamber Pres: 15.06 | Throttle: 0.00 | Total Impulse: 5.16
MET: 00:00:05:388 | Thrust:  1.20 | Chamber Pres: 15.07 | Throttle: 0.00 | Total Impulse: 5.28
MET: 00:00:05:538 | Thrust:  0.70 | Chamber Pres: 15.04 | Throttle: 0.00 | Total Impulse: 5.35
MET: 00:00:05:608 | Thrust:  0.14 | Chamber Pres: 15.00 | Throttle: 0.00 | Total Impulse: 5.36
MET: 00:00:05:670 | Thrust:  0.00 | Chamber Pres: 15.04 | Throttle: 0.00 | Total Impulse: 5.36
MET: 00:00:05:782 | Thrust:  0.00 | Chamber Pres: 14.99 | Throttle: 0.00 | Total Impulse: 5.36
MET: 00:00:05:910 | Thrust:  0.26 | Chamber Pres: 15.11 | Throttle: 0.00 | Total Impulse: 5.39
MET: 00:00:06:017 | Thrust:  0.80 | Chamber Pres: 15.03 | Throttle: 0.00 | Total Impulse: 5.47
MET: 00:00:06:082 | Thrust:  1.50 | Chamber Pres: 15.06 | Throttle: 0.00 | Total Impulse: 5.62
MET: 00:00:06:213 | Thrust:  1.95 | Chamber Pres: 15.20 | Throttle: 0.00 | Total Impulse: 5.82
MET: 00:00:06:273 | Thrust:  2.16 | Chamber Pres: 15.05 | Throttle: 0.00 | Total Impulse: 6.04
MET: 00:00:06:396 | Thrust:  2.19 | Chamber Pres: 15.00 | Throttle: 0.00 | Total Impulse: 6.26
MET: 00:00:06:505 | Thrust:  2.17 | Chamber Pres: 15.08 | Throttle: 0.00 | Total Impulse: 6.48
MET: 00:00:06:622 | Thrust:  2.05 | Chamber Pres: 15.11 | Throttle: 0.00 | Total Impulse: 6.68
MET: 00:00:06:681 | Thrust:  1.83 | Chamber Pres: 15.08 | Throttle: 0.00 | Total Impulse: 6.87
MET: 00:00:06:788 | Thrust:  1.39 | Chamber Pres: 15.11 | Throttle: 0.00 | Total Impulse: 7.01
