MET: 00:00:00:000 | Thrust:  0.00 | Chamber Pres: 17.45 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:00:303 | Thrust:  0.02 | Chamber Pres: 17.67 | Throttle: 35.00 | Total Impulse: 0.20
MET: 00:00:00:412 | Thrust:  0.24 | Chamber Pres: 17.69 | Throttle: 35.00 | Total Impulse: 2.57
MET: 00:00:00:513 | Thrust:  0.78 | Chamber Pres: 17.70 | Throttle: 35.00 | Total Impulse: 10.30
MET: 00:00:00:608 | Thrust:  1.32 | Chamber Pres: 17.71 | Throttle: 35.00 | Total Impulse: 23.37
MET: 00:00:00:699 | Thrust:  1.79 | Chamber Pres: 17.74 | Throttle: 35.00 | Total Impulse: 41.09
MET: 00:00:00:787 | Thrust:  2.03 | Chamber Pres: 17.78 | Throttle: 35.00 | Total Impulse: 61.19
MET: 00:00:00:877 | Thrust:  2.05 | Chamber Pres: 17.81 | Throttle: 35.00 | Total Impulse: 81.49
MET: 00:00:00:945 | Thrust:  2.08 | Chamber Pres: 17.76 | Throttle: 35.00 | Total Impulse: 102.08
MET: 00:00:01:006 | Thrust:  2.14 | Chamber Pres: 17.00 | Throttle: 30.00 | Total Impulse: 123.27
MET: 00:00:01:075 | Thrust:  2.21 | Chamber Pres: 16.06 | Throttle: 20.00 | Total Impulse: 145.15
MET: 00:00:01:139 | Thrust:  2.37 | Chamber Pres: 15.96 | Throttle: 15.00 | Total Impulse: 168.61
MET: 00:00:01:193 | Thrust:  2.36 | Chamber Pres: 14.62 | Throttle: 5.00 | Total Impulse: 191.98
MET: 00:00:01:249 | Thrust:  1.93 | Chamber Pres: 15.34 | Throttle: 0.00 | Total Impulse: 211.09
MET: 00:00:01:303 | Thrust:  1.56 | Chamber Pres: 17.15 | Throttle: 0.00 | Total Impulse: 226.53
MET: 00:00:01:362 | Thrust:  1.29 | Chamber Pres: 16.93 | Throttle: 0.00 | Total Impulse: 239.31
MET: 00:00:01:427 | Thrust:  1.34 | Chamber Pres: 16.89 | Throttle: 0.00 | Total Impulse: 252.57
MET: 00:00:01:491 | Thrust:  1.92 | Chamber Pres: 16.86 | Throttle: 0.00 | Total Impulse: 271.58
MET: 00:00:01:566 | Thrust:  2.34 | Chamber Pres: 16.83 | Throttle: 0.00 | Total Impulse: 294.75
MET: 00:00:01:637 | Thrust:  2.39 | Chamber Pres: 16.83 | Throttle: 0.00 | Total Impulse: 318.42
MET: 00:00:01:722 | Thrust:  2.43 | Chamber Pres: 16.89 | Throttle: 0.00 | Total Impulse: 342.48
MET: 00:00:01:795 | Thrust:  2.26 | Chamber Pres: 16.83 | Throttle: 0.00 | Total Impulse: 364.85
MET: 00:00:01:862 | Thrust:  2.19 | Chamber Pres: 16.88 | Throttle: 0.00 | Total Impulse: 386.32
MET: 00:00:01:935 | Thrust:  2.42 | Chamber Pres: 16.81 | Throttle: 0.00 | Total Impulse: 410.28
MET: 00:00:02:012 | Thrust:  1.86 | Chamber Pres: 16.77 | Throttle: 0.00 | Total Impulse: 428.70
MET: 00:00:02:069 | Thrust:  2.08 | Chamber Pres: 16.75 | Throttle: 0.00 | Total Impulse: 449.29
MET: 00:00:02:126 | Thrust:  1.95 | Chamber Pres: 16.71 | Throttle: 0.00 | Total Impulse: 468.60
MET: 00:00:02:180 | Thrust:  2.51 | Chamber Pres: 16.58 | Throttle: 0.00 | Total Impulse: 493.45
MET: 00:00:02:234 | Thrust:  2.61 | Chamber Pres: 16.64 | Throttle: 0.00 | Total Impulse: 519.29
MET: 00:00:02:290 | Thrust:  2.60 | Chamber Pres: 16.60 | Throttle: 0.00 | Total Impulse: 545.03
MET: 00:00:02:357 | Thrust:  2.63 | Chamber Pres: 16.51 | Throttle: 0.00 | Total Impulse: 571.07
MET: 00:00:02:436 | Thrust:  2.00 | Chamber Pres: 16.55 | Throttle: 0.00 | Total Impulse: 590.88
MET: 00:00:02:492 | Thrust:  1.94 | Chamber Pres: 16.61 | Throttle: 0.00 | Total Impulse: 610.08
MET: 00:00:02:554 | Thrust:  1.70 | Chamber Pres: 16.67 | Throttle: 0.00 | Total Impulse: 626.92
MET: 00:00:02:628 | Thrust:  1.37 | Chamber Pres: 16.68 | Throttle: 0.00 | Total Impulse: 640.48
MET: 00:00:02:682 | Thrust:  1.65 | Chamber Pres: 16.69 | Throttle: 0.00 | Total Impulse: 656.82
MET: 00:00:02:737 | Thrust:  2.07 | Chamber Pres: 16.65 | Throttle: 0.00 | Total Impulse: 677.31
MET: 00:00:02:790 | Thrust:  2.75 | Chamber Pres: 16.62 | Throttle: 0.00 | Total Impulse: 704.54
MET: 00:00:02:844 | Thrust:  2.92 | Chamber Pres: 16.60 | Throttle: 0.00 | Total Impulse: 733.45
MET: 00:00:02:954 | Thrust:  2.82 | Chamber Pres: 16.44 | Throttle: 0.00 | Total Impulse: 761.37
MET: 00:00:03:019 | Thrust:  2.43 | Chamber Pres: 16.43 | Throttle: 0.00 | Total Impulse: 785.43
MET: 00:00:03:166 | Thrust:  1.66 | Chamber Pres: 16.37 | Throttle: 0.00 | Total Impulse: 801.71
MET: 00:00:03:240 | Thrust:  1.88 | Chamber Pres: 16.72 | Throttle: 0.00 | Total Impulse: 820.32
MET: 00:00:03:320 | Thrust:  2.27 | Chamber Pres: 16.60 | Throttle: 0.00 | Total Impulse: 842.79
MET: 00:00:03:452 | Thrust:  2.66 | Chamber Pres: 16.54 | Throttle: 0.00 | Total Impulse: 869.13
MET: 00:00:03:522 | Thrust:  3.18 | Chamber Pres: 16.67 | Throttle: 0.00 | Total Impulse: 900.62
MET: 00:00:03:648 | Thrust:  3.19 | Chamber Pres: 16.76 | Throttle: 0.00 | Total Impulse: 932.20
MET: 00:00:03:720 | Thrust:  2.60 | Chamber Pres: 16.76 | Throttle: 0.00 | Total Impulse: 957.94
MET: 00:00:03:847 | Thrust:  2.29 | Chamber Pres: 16.70 | Throttle: 0.00 | Total Impulse: 980.62
MET: 00:00:03:966 | Thrust:  2.20 | Chamber Pres: 16.68 | Throttle: 0.00 | Total Impulse: 1002.40
