MET: 00:00:00:000 | Thrust:  0.00 | Chamber Pres: 17.45 | Throttle: 20.00 | Total Impulse: 0.00
MET: 00:00:00:277 | Thrust:  0.05 | Chamber Pres: 17.39 | Throttle: 20.00 | Total Impulse: 0.00
MET: 00:00:00:383 | Thrust:  0.00 | Chamber Pres: 17.36 | Throttle: 20.00 | Total Impulse: 0.00
MET: 00:00:00:486 | Thrust:  0.25 | Chamber Pres: 17.39 | Throttle: 20.00 | Total Impulse: 0.00
MET: 00:00:00:586 | Thrust:  0.25 | Chamber Pres: 17.40 | Throttle: 20.00 | Total Impulse: 0.01
MET: 00:00:00:665 | Thrust:  0.23 | Chamber Pres: 17.40 | Throttle: 20.00 | Total Impulse: 0.01
MET: 00:00:00:745 | Thrust:  0.42 | Chamber Pres: 17.38 | Throttle: 20.00 | Total Impulse: 0.01
MET: 00:00:00:809 | Thrust:  0.46 | Chamber Pres: 17.36 | Throttle: 20.00 | Total Impulse: 0.02
MET: 00:00:00:873 | Thrust:  0.46 | Chamber Pres: 17.32 | Throttle: 20.00 | Total Impulse: 0.02
MET: 00:00:00:942 | Thrust:  0.50 | Chamber Pres: 17.34 | Throttle: 20.00 | Total Impulse: 0.03
MET: 00:00:01:015 | Thrust:  0.51 | Chamber Pres: 17.34 | Throttle: 20.00 | Total Impulse: 0.03
MET: 00:00:01:080 | Thrust:  0.38 | Chamber Pres: 17.35 | Throttle: 20.00 | Total Impulse: 0.03
MET: 00:00:01:159 | Thrust:  0.42 | Chamber Pres: 17.40 | Throttle: 20.00 | Total Impulse: 0.04
MET: 00:00:01:243 | Thrust:  0.60 | Chamber Pres: 17.44 | Throttle: 20.00 | Total Impulse: 0.04
MET: 00:00:01:325 | Thrust:  0.54 | Chamber Pres: 17.38 | Throttle: 20.00 | Total Impulse: 0.05
MET: 00:00:01:416 | Thrust:  0.68 | Chamber Pres: 17.44 | Throttle: 20.00 | Total Impulse: 0.06
MET: 00:00:01:480 | Thrust:  0.71 | Chamber Pres: 17.39 | Throttle: 20.00 | Total Impulse: 0.06
MET: 00:00:01:542 | Thrust:  0.42 | Chamber Pres: 17.37 | Throttle: 20.00 | Total Impulse: 0.07
MET: 00:00:01:613 | Thrust:  0.31 | Chamber Pres: 17.35 | Throttle: 20.00 | Total Impulse: 0.07
MET: 00:00:01:686 | Thrust:  0.01 | Chamber Pres: 17.37 | Throttle: 20.00 | Total Impulse: 0.07
MET: 00:00:01:759 | Thrust:  0.00 | Chamber Pres: 17.45 | Throttle: 20.00 | Total Impulse: 0.07
MET: 00:00:01:832 | Thrust:  0.00 | Chamber Pres: 17.42 | Throttle: 20.00 | Total Impulse: 0.07
MET: 00:00:01:905 | Thrust:  0.00 | Chamber Pres: 17.40 | Throttle: 20.00 | Total Impulse: 0.07
MET: 00:00:01:983 | Thrust:  0.00 | Chamber Pres: 17.44 | Throttle: 20.00 | Total Impulse: 0.07
MET: 00:00:02:070 | Thrust:  0.23 | Chamber Pres: 17.43 | Throttle: 20.00 | Total Impulse: 0.07
MET: 00:00:02:148 | Thrust:  0.36 | Chamber Pres: 17.46 | Throttle: 20.00 | Total Impulse: 0.08
MET: 00:00:02:207 | Thrust:  0.33 | Chamber Pres: 17.42 | Throttle: 20.00 | Total Impulse: 0.08
MET: 00:00:02:272 | Thrust:  0.33 | Chamber Pres: 17.42 | Throttle: 20.00 | Total Impulse: 0.08
MET: 00:00:02:342 | Thrust:  0.33 | Chamber Pres: 17.41 | Throttle: 20.00 | Total Impulse: 0.09
