MET: 00:00:00:000 | Thrust:  2.15 | Chamber Pres: 16.83 | Throttle: 5.00 | Total Impulse: 21.29
MET: 00:00:00:114 | Thrust:  2.84 | Chamber Pres: 15.04 | Throttle: 15.00 | Total Impulse: 49.41
MET: 00:00:00:219 | Thrust:  3.16 | Chamber Pres: 16.39 | Throttle: 20.00 | Total Impulse: 80.69
MET: 00:00:00:334 | Thrust:  3.10 | Chamber Pres: 17.05 | Throttle: 20.00 | Total Impulse: 111.39
MET: 00:00:00:450 | Thrust:  2.15 | Chamber Pres: 16.74 | Throttle: 20.00 | Total Impulse: 132.67
MET: 00:00:00:515 | Thrust:  1.57 | Chamber Pres: 16.98 | Throttle: 20.00 | Total Impulse: 148.22
MET: 00:00:00:680 | Thrust:  1.61 | Chamber Pres: 16.97 | Throttle: 20.00 | Total Impulse: 164.16
MET: 00:00:00:731 | Thrust:  1.86 | Chamber Pres: 16.90 | Throttle: 20.00 | Total Impulse: 182.57
MET: 00:00:00:834 | Thrust:  1.92 | Chamber Pres: 16.76 | Throttle: 20.00 | Total Impulse: 201.58
MET: 00:00:00:937 | Thrust:  2.19 | Chamber Pres: 16.73 | Throttle: 20.00 | Total Impulse: 223.27
MET: 00:00:01:048 | Thrust:  2.77 | Chamber Pres: 16.68 | Throttle: 20.00 | Total Impulse: 250.69
MET: 00:00:01:112 | Thrust:  3.25 | Chamber Pres: 16.71 | Throttle: 20.00 | Total Impulse: 282.56
MET: 00:00:01:210 | Thrust:  3.44 | Chamber Pres: 16.80 | Throttle: 20.00 | Total Impulse: 316.62
MET: 00:00:01:333 | Thrust:  3.65 | Chamber Pres: 16.81 | Throttle: 20.00 | Total Impulse: 352.75
MET: 00:00:01:442 | Thrust:  3.41 | Chamber Pres: 16.77 | Throttle: 20.00 | Total Impulse: 386.52
MET: 00:00:01:552 | Thrust:  2.90 | Chamber Pres: 16.67 | Throttle: 20.00 | Total Impulse: 415.23
MET: 00:00:01:663 | Thrust:  2.06 | Chamber Pres: 16.58 | Throttle: 20.00 | Total Impulse: 435.63
MET: 00:00:01:716 | Thrust:  1.34 | Chamber Pres: 16.62 | Throttle: 20.00 | Total Impulse: 448.89
MET: 00:00:01:817 | Thrust:  1.23 | Chamber Pres: 16.63 | Throttle: 20.00 | Total Impulse: 461.07
MET: 00:00:01:926 | Thrust:  1.44 | Chamber Pres: 16.55 | Throttle: 20.00 | Total Impulse: 475.33
MET: 00:00:02:036 | Thrust:  2.41 | Chamber Pres: 16.43 | Throttle: 20.00 | Total Impulse: 499.19
MET: 00:00:02:142 | Thrust:  2.80 | Chamber Pres: 16.52 | Throttle: 20.00 | Total Impulse: 526.91
MET: 00:00:02:257 | Thrust:  2.32 | Chamber Pres: 16.98 | Throttle: 20.00 | Total Impulse: 549.88
MET: 00:00:02:370 | Thrust:  1.67 | Chamber Pres: 17.11 | Throttle: 20.00 | Total Impulse: 566.42
MET: 00:00:02:431 | Thrust:  1.01 | Chamber Pres: 17.07 | Throttle: 20.00 | Total Impulse: 576.42
MET: 00:00:02:544 | Thrust:  0.93 | Chamber Pres: 17.07 | Throttle: 20.00 | Total Impulse: 585.63
MET: 00:00:02:667 | Thrust:  1.24 | Chamber Pres: 17.05 | Throttle: 20.00 | Total Impulse: 597.90
MET: 00:00:02:721 | Thrust:  1.65 | Chamber Pres: 17.04 | Throttle: 20.00 | Total Impulse: 614.24
MET: 00:00:02:828 | Thrust:  1.72 | Chamber Pres: 17.07 | Throttle: 20.00 | Total Impulse: 631.27
MET: 00:00:02:939 | Thrust:  1.79 | Chamber Pres: 16.99 | Throttle: 20.00 | Total Impulse: 648.99
MET: 00:00:03:061 | Thrust:  2.14 | Chamber Pres: 17.00 | Throttle: 20.00 | Total Impulse: 669.97
MET: 00:00:03:123 | Thrust:  2.14 | Chamber Pres: 17.00 | Throttle: 20.00 | Total Impulse: 669.97
MET: 00:00:03:177 | Thrust:  2.76 | Chamber Pres: 17.00 | Throttle: 20.00 | Total Impulse: 697.30
