MET: 00:00:05:133 | Thrust:  0.12 | Chamber Pres: 16.11 | Throttle: 10.00 | Total Impulse: Infinity
MET: 00:00:05:246 | Thrust:  0.70 | Chamber Pres: 16.54 | Throttle: 10.00 | Total Impulse: Infinity
MET: 00:00:05:346 | Thrust:  0.97 | Chamber Pres: 16.80 | Throttle: 10.00 | Total Impulse: Infinity
MET: 00:00:05:451 | Thrust:  1.08 | Chamber Pres: 16.80 | Throttle: 10.00 | Total Impulse: Infinity
MET: 00:00:05:555 | Thrust:  1.05 | Chamber Pres: 16.71 | Throttle: 10.00 | Total Impulse: Infinity
MET: 00:00:05:656 | Thrust:  1.10 | Chamber Pres: 16.69 | Throttle: 10.00 | Total Impulse: Infinity
MET: 00:00:05:757 | Thrust:  1.20 | Chamber Pres: 16.64 | Throttle: 10.00 | Total Impulse: Infinity
MET: 00:00:05:858 | Thrust:  1.44 | Chamber Pres: 16.58 | Throttle: 10.00 | Total Impulse: Infinity
MET: 00:00:05:956 | Thrust:  1.56 | Chamber Pres: 16.54 | Throttle: 10.00 | Total Impulse: Infinity
MET: 00:00:06:054 | Thrust:  1.27 | Chamber Pres: 16.51 | Throttle: 10.00 | Total Impulse: Infinity
MET: 00:00:06:161 | Thrust:  1.01 | Chamber Pres: 16.07 | Throttle: 5.00 | Total Impulse: Infinity
MET: 00:00:06:263 | Thrust:  0.73 | Chamber Pres: 15.20 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:06:318 | Thrust:  0.47 | Chamber Pres: 16.70 | Throttle: 0.00 | Total Impulse: Infinity
MET: 00:00:06:414 | Thrust:  0.47 | Chamber Pres: 16.70 | Throttle: 0.00 | Total Impulse: NaN
MET: 00:00:06:463 | Thrust:  0.01 | Chamber Pres: 16.77 | Throttle: 0.00 | Total Impulse: NaN
MET: 00:00:06:562 | Thrust: -0.61 | Chamber Pres: 16.81 | Throttle: 0.00 | Total Impulse: NaN
MET: 00:00:06:661 | Thrust: -1.22 | Chamber Pres: 16.78 | Throttle: 0.00 | Total Impulse: NaN
MET: 00:00:06:757 | Thrust: -1.44 | Chamber Pres: 16.72 | Throttle: 0.00 | Total Impulse: NaN
MET: 00:00:06:871 | Thrust: -0.91 | Chamber Pres: 16.72 | Throttle: 0.00 | Total Impulse: NaN
MET: 00:00:06:932 | Thrust: -0.03 | Chamber Pres: 16.61 | Throttle: 0.00 | Total Impulse: NaN
MET: 00:00:07:060 | Thrust:  0.18 | Chamber Pres: 16.49 | Throttle: 0.00 | Total Impulse: NaN
MET: 00:00:07:187 | Thrust:  0.33 | Chamber Pres: 16.55 | Throttle: 0.00 | Total Impulse: NaN
MET: 00:00:07:238 | Thrust:  0.31 | Chamber Pres: 16.50 | Throttle: 0.00 | Total Impulse: NaN
MET: 00:00:07:333 | Thrust: -0.18 | Chamber Pres: 16.38 | Throttle: 0.00 | Total Impulse: NaN
MET: 00:00:07:455 | Thrust: -0.17 | Chamber Pres: 16.30 | Throttle: 0.00 | Total Impulse: NaN
MET: 00:00:07:536 | Thrust: -0.17 | Chamber Pres: 16.28 | Throttle: 0.00 | Total Impulse: NaN
MET: 00:00:07:633 | Thrust: -0.15 | Chamber Pres: 16.23 | Throttle: 5.00 | Total Impulse: NaN
MET: 00:00:07:776 | Thrust:  0.03 | Chamber Pres: 16.26 | Throttle: 15.00 | Total Impulse: NaN
MET: 00:00:07:871 | Thrust:  0.52 | Chamber Pres: 15.50 | Throttle: 25.00 | Total Impulse: NaN
MET: 00:00:07:968 | Thrust:  0.28 | Chamber Pres: 15.32 | Throttle: 30.00 | Total Impulse: NaN
MET: 00:00:08:060 | Thrust:  0.25 | Chamber Pres: 16.45 | Throttle: 30.00 | Total Impulse: NaN
MET: 00:00:08:156 | Thrust: -0.13 | Chamber
