MET: 00:00:00:000 | Thrust:  1.00 | Chamber Pres: 18.70 | Throttle: 4.00 | Total Impulse: 0.10
MET: 00:00:00:126 | Thrust:  1.00 | Chamber Pres: 18.70 | Throttle: 19.00 | Total Impulse: 0.20
MET: 00:00:00:268 | Thrust:  1.00 | Chamber Pres: 18.61 | Throttle: 30.00 | Total Impulse: 0.30
MET: 00:00:00:320 | Thrust:  1.00 | Chamber Pres: 17.18 | Throttle: 43.00 | Total Impulse: 0.40
MET: 00:00:00:420 | Thrust:  1.00 | Chamber Pres: 16.03 | Throttle: 50.00 | Total Impulse: 0.50
MET: 00:00:00:525 | Thrust:  1.00 | Chamber Pres: 18.27 | Throttle: 53.00 | Total Impulse: 0.61
MET: 00:00:00:629 | Thrust:  1.00 | Chamber Pres: 17.87 | Throttle: 58.00 | Total Impulse: 0.71
MET: 00:00:00:753 | Thrust:  1.00 | Chamber Pres: 17.94 | Throttle: 62.00 | Total Impulse: 0.81
MET: 00:00:00:819 | Thrust:  1.00 | Chamber Pres: 18.23 | Throttle: 64.00 | Total Impulse: 0.91
MET: 00:00:00:919 | Thrust:  1.00 | Chamber Pres: 18.31 | Throttle: 67.00 | Total Impulse: 1.01
MET: 00:00:01:047 | Thrust:  1.00 | Chamber Pres: 18.35 | Throttle: 69.00 | Total Impulse: 1.11
MET: 00:00:01:111 | Thrust:  1.00 | Chamber Pres: 18.31 | Throttle: 72.00 | Total Impulse: 1.21
MET: 00:00:01:216 | Thrust:  1.00 | Chamber Pres: 18.56 | Throttle: 73.00 | Total Impulse: 1.31
MET: 00:00:01:317 | Thrust:  1.00 | Chamber Pres: 18.51 | Throttle: 74.00 | Total Impulse: 1.41
MET: 00:00:01:419 | Thrust:  1.00 | Chamber Pres: 18.46 | Throttle: 77.00 | Total Impulse: 1.52
MET: 00:00:01:522 | Thrust:  1.00 | Chamber Pres: 18.53 | Throttle: 79.00 | Total Impulse: 1.62
MET: 00:00:01:625 | Thrust:  1.00 | Chamber Pres: 18.61 | Throttle: 81.00 | Total Impulse: 1.72
MET: 00:00:01:726 | Thrust:  1.00 | Chamber Pres: 18.33 | Throttle: 83.00 | Total Impulse: 1.82
MET: 00:00:01:834 | Thrust:  1.00 | Chamber Pres: 18.39 | Throttle: 86.00 | Total Impulse: 1.92
MET: 00:00:01:937 | Thrust:  1.00 | Chamber Pres: 18.47 | Throttle: 88.00 | Total Impulse: 2.02
MET: 00:00:02:036 | Thrust:  1.00 | Chamber Pres: 18.18 | Throttle: 90.00 | Total Impulse: 2.12
MET: 00:00:02:141 | Thrust:  1.00 | Chamber Pres: 17.77 | Throttle: 94.00 | Total Impulse: 2.22
MET: 00:00:02:251 | Thrust:  1.00 | Chamber Pres: 17.94 | Throttle: 96.00 | Total Impulse: 2.32
MET: 00:00:02:354 | Thrust:  1.00 | Chamber Pres: 18.19 | Throttle: 98.00 | Total Impulse: 2.42
MET: 00:00:02:458 | Thrust:  1.00 | Chamber Pres: 17.99 | Throttle: 100.00 | Total Impulse: 2.53
MET: 00:00:02:558 | Thrust:  1.00 | Chamber Pres: 17.71 | Throttle: 100.00 | Total Impulse: 2.63
MET: 00:00:02:659 | Thrust:  1.00 | Chamber Pres: 17.75 | Throttle: 100.00 | Total Impulse: 2.73
MET: 00:00:02:761 | Thrust:  1.00 | Chamber Pres: 17.69 | Throttle: 100.00 | Total Impulse: 2.83
MET: 00:00:02:864 | Thrust:  1.00 | Chamber Pres: 17.76 | Throttle: 100.00 | Total Impulse: 2.93
MET: 00:00:02:966 | Thrust:  1.00 | Chamber Pres: 17.51 | Throttle: 100.00 | Total Impulse: 3.03
MET: 00:00:03:070 | Thrust:  1.00 | Chamber Pres: 17.96 | Throttle: 96.00 | Total Impulse: 3.13
MET: 00:00:03:172 | Thrust:  1.00 | Chamber Pres: 17.19 | Throttle: 85.00 | Total Impulse: 3.23
MET: 00:00:03:230 | Thrust:  1.00 | Chamber Pres: 15.27 | Throttle: 68.00 | Total Impulse: 3.34
MET: 00:00:03:326 | Thrust:  1.00 | Chamber Pres: 16.42 | Throttle: 56.00 | Total Impulse: 3.44
MET: 00:00:03:436 | Thrust:  1.00 | Chamber Pres: 16.42 | Throttle: 56.00 | Total Impulse: 3.54
MET: 00:00:03:485 | Thrust:  1.00 | Chamber Pres: 17.42 | Throttle: 49.00 | Total Impulse: 3.64
MET: 00:00:03:536 | Thrust:  1.00 | Chamber Pres: 18.17 | Throttle: 46.00 | Total Impulse: 3.74
MET: 00:00:03:636 | Thrust:  1.00 | Chamber Pres: 18.21 | Throttle: 43.00 | Total Impulse: 3.84
MET: 00:00:03:736 | Thrust:  1.00 | Chamber Pres: 18.21 | Throttle: 43.00 | Total Impulse: 3.94
MET: 00:00:03:786 | Thrust:  1.00 | Chamber Pres: 17.60 | Throttle: 39.00 | Total Impulse: 4.04
MET: 00:00:03:886 | Thrust:  1.00 | Chamber Pres: 18.32 | Throttle: 38.00 | Total Impulse: 4.14
MET: 00:00:03:940 | Thrust:  1.00 | Chamber Pres: 18.38 | Throttle: 38.00 | Total Impulse: 4.24
MET: 00:00:04:040 | Thrust:  1.00 | Chamber Pres: 16.76 | Throttle: 29.00 | Total Impulse: 4.35
MET: 00:00:04:145 | Thrust:  1.00 | Chamber Pres: 17.02 | Throttle: 26.00 | Total Impulse: 4.45
MET: 00:00:04:248 | Thrust:  1.00 | Chamber Pres: 18.61 | Throttle: 26.00 | Total Impulse: 4.55
MET: 00:00:04:350 | Thrust:  1.00 | Chamber Pres: 18.88 | Throttle: 26.00 | Total Impulse: 4.65
MET: 00:00:04:452 | Thrust:  1.00 | Chamber Pres: 16.18 | Throttle: 40.00 | Total Impulse: 4.75
MET: 00:00:04:552 | Thrust:  1.00 | Chamber Pres: 16.80 | Throttle: 50.00 | Total Impulse: 4.85
MET: 00:00:04:687 | Thrust:  1.00 | Chamber Pres: 16.94 | Throttle: 57.00 | Total Impulse: 4.95
MET: 00:00:04:751 | Thrust:  1.00 | Chamber Pres: 18.49 | Throttle: 58.00 | Total Impulse: 5.05
MET: 00:00:04:851 | Thrust:  1.00 | Chamber Pres: 17.13 | Throttle: 65.00 | Total Impulse: 5.15
MET: 00:00:04:952 | Thrust:  1.00 | Chamber Pres: 15.86 | Throttle: 74.00 | Total Impulse: 5.25
MET: 00:00:05:051 | Thrust:  1.00 | Chamber Pres: 15.86 | Throttle: 74.00 | Total Impulse: 5.36
MET: 00:00:05:101 | Thrust:  1.00 | Chamber Pres: 17.48 | Throttle: 81.00 | Total Impulse: 5.46
MET: 00:00:05:154 | Thrust:  1.00 | Chamber Pres: 18.75 | Throttle: 82.00 | Total Impulse: 5.56
MET: 00:00:05:254 | Thrust:  1.00 | Chamber Pres: 17.04 | Throttle: 69.00 | Total Impulse: 5.66
MET: 00:00:05:354 | Thrust:  1.00 | Chamber Pres: 17.04 | Throttle: 69.00 | Total Impulse: 5.76
MET: 00:00:05:403 | Thrust:  1.00 | Chamber Pres: 16.34 | Throttle: 55.00 | Total Impulse: 5.86
MET: 00:00:05:454 | Thrust:  1.00 | Chamber Pres: 16.11 | Throttle: 44.00 | Total Impulse: 5.96
MET: 00:00:05:554 | Thrust:  1.00 | Chamber Pres: 17.49 | Throttle: 38.00 | Total Impulse: 6.06
MET: 00:00:05:655 | Thrust:  1.00 | Chamber Pres: 18.73 | Throttle: 38.00 | Total Impulse: 6.16
MET: 00:00:05:760 | Thrust:  1.00 | Chamber Pres: 18.78 | Throttle: 48.00 | Total Impulse: 6.26
MET: 00:00:05:868 | Thrust:  1.00 | Chamber Pres: 14.07 | Throttle: 66.00 | Total Impulse: 6.37
MET: 00:00:05:967 | Thrust:  1.00 | Chamber Pres: 17.45 | Throttle: 66.00 | Total Impulse: 6.47
MET: 00:00:06:066 | Thrust:  1.00 | Chamber Pres: 19.24 | Throttle: 58.00 | Total Impulse: 6.57
MET: 00:00:06:169 | Thrust:  1.00 | Chamber Pres: 14.03 | Throttle: 39.00 | Total Impulse: 6.67
MET: 00:00:06:270 | Thrust:  1.00 | Chamber Pres: 17.47 | Throttle: 38.00 | Total Impulse: 6.77
MET: 00:00:06:369 | Thrust:  1.00 | Chamber Pres: 18.97 | Throttle: 45.00 | Total Impulse: 6.87
MET: 00:00:06:469 | Thrust:  1.00 | Chamber Pres: 15.38 | Throttle: 64.00 | Total Impulse: 6.97
MET: 00:00:06:569 | Thrust:  1.00 | Chamber Pres: 17.64 | Throttle: 65.00 | Total Impulse: 7.07
MET: 00:00:06:668 | Thrust:  1.00 | Chamber Pres: 18.65 | Throttle: 69.00 | Total Impulse: 7.17
MET: 00:00:06:771 | Thrust:  1.00 | Chamber Pres: 13.84 | Throttle: 86.00 | Total Impulse: 7.28
MET: 00:00:06:889 | Thrust:  1.00 | Chamber Pres: 17.03 | Throttle: 90.00 | Total Impulse: 7.38
MET: 00:00:06:992 | Thrust:  1.00 | Chamber Pres: 18.80 | Throttle: 78.00 | Total Impulse: 7.48
MET: 00:00:07:092 | Thrust:  1.00 | Chamber Pres: 14.23 | Throttle: 63.00 | Total Impulse: 7.58
MET: 00:00:07:200 | Thrust:  1.00 | Chamber Pres: 18.58 | Throttle: 63.00 | Total Impulse: 7.68
MET: 00:00:07:300 | Thrust:  1.00 | Chamber Pres: 16.57 | Throttle: 44.00 | Total Impulse: 7.78
