MET: 00:00:00:000 | Thrust: -0.83 | Chamber Pres: 16.21 | Throttle: 5.00 | Total Impulse: -0.01
MET: 00:00:00:129 | Thrust: -0.28 | Chamber Pres: 16.26 | Throttle: 10.00 | Total Impulse: -0.01
MET: 00:00:00:185 | Thrust:  0.12 | Chamber Pres: 14.72 | Throttle: 20.00 | Total Impulse: -0.01
MET: 00:00:00:305 | Thrust: -0.08 | Chamber Pres: 15.65 | Throttle: 25.00 | Total Impulse: -0.01
MET: 00:00:00:445 | Thrust: -0.35 | Chamber Pres: 16.88 | Throttle: 25.00 | Total Impulse: -0.01
MET: 00:00:00:522 | Thrust: -0.81 | Chamber Pres: 16.95 | Throttle: 25.00 | Total Impulse: -0.02
MET: 00:00:00:586 | Thrust: -0.98 | Chamber Pres: 16.87 | Throttle: 25.00 | Total Impulse: -0.03
MET: 00:00:00:723 | Thrust: -0.90 | Chamber Pres: 16.81 | Throttle: 25.00 | Total Impulse: -0.04
MET: 00:00:00:807 | Thrust: -0.39 | Chamber Pres: 16.92 | Throttle: 25.00 | Total Impulse: -0.04
MET: 00:00:00:901 | Thrust:  0.42 | Chamber Pres: 17.02 | Throttle: 25.00 | Total Impulse: -0.04
MET: 00:00:00:993 | Thrust:  0.78 | Chamber Pres: 16.94 | Throttle: 25.00 | Total Impulse: -0.03
MET: 00:00:01:124 | Thrust:  0.79 | Chamber Pres: 16.85 | Throttle: 25.00 | Total Impulse: -0.02
MET: 00:00:01:188 | Thrust:  0.90 | Chamber Pres: 16.82 | Throttle: 25.00 | Total Impulse: -0.02
MET: 00:00:01:356 | Thrust:  0.52 | Chamber Pres: 16.83 | Throttle: 25.00 | Total Impulse: -0.01
MET: 00:00:01:427 | Thrust:  0.56 | Chamber Pres: 16.75 | Throttle: 25.00 | Total Impulse: -0.01
MET: 00:00:01:500 | Thrust:  0.90 | Chamber Pres: 16.67 | Throttle: 25.00 | Total Impulse: 0.00
