MET: 00:00:00:000 | Thrust:  1.36 | Chamber Pres: 16.12 | Throttle: 5.00 | Total Impulse: 0.01
MET: 00:00:00:101 | Thrust:  1.16 | Chamber Pres: 15.38 | Throttle: 15.00 | Total Impulse: 0.02
MET: 00:00:00:194 | Thrust:  0.92 | Chamber Pres: 15.88 | Throttle: 20.00 | Total Impulse: 0.03
MET: 00:00:00:288 | Thrust:  0.59 | Chamber Pres: 15.38 | Throttle: 25.00 | Total Impulse: 0.04
MET: 00:00:00:385 | Thrust:  0.14 | Chamber Pres: 17.09 | Throttle: 25.00 | Total Impulse: 0.04
MET: 00:00:00:524 | Thrust:  0.14 | Chamber Pres: 16.93 | Throttle: 25.00 | Total Impulse: 0.04
MET: 00:00:00:620 | Thrust:  0.40 | Chamber Pres: 17.09 | Throttle: 25.00 | Total Impulse: 0.05
MET: 00:00:00:738 | Thrust:  0.66 | Chamber Pres: 17.01 | Throttle: 25.00 | Total Impulse: 0.05
MET: 00:00:00:793 | Thrust:  0.97 | Chamber Pres: 16.92 | Throttle: 25.00 | Total Impulse: 0.06
MET: 00:00:00:900 | Thrust:  0.97 | Chamber Pres: 16.91 | Throttle: 25.00 | Total Impulse: 0.07
MET: 00:00:01:010 | Thrust:  0.97 | Chamber Pres: 16.89 | Throttle: 25.00 | Total Impulse: 0.08
MET: 00:00:01:110 | Thrust:  1.39 | Chamber Pres: 16.91 | Throttle: 25.00 | Total Impulse: 0.10
MET: 00:00:01:209 | Thrust:  1.88 | Chamber Pres: 16.79 | Throttle: 25.00 | Total Impulse: 0.11
MET: 00:00:01:306 | Thrust:  1.93 | Chamber Pres: 16.74 | Throttle: 25.00 | Total Impulse: 0.13
MET: 00:00:01:400 | Thrust:  1.81 | Chamber Pres: 16.75 | Throttle: 25.00 | Total Impulse: 0.15
MET: 00:00:01:504 | Thrust:  1.59 | Chamber Pres: 16.65 | Throttle: 25.00 | Total Impulse: 0.17
MET: 00:00:01:603 | Thrust:  1.65 | Chamber Pres: 16.64 | Throttle: 25.00 | Total Impulse: 0.18
MET: 00:00:01:703 | Thrust:  1.66 | Chamber Pres: 16.57 | Throttle: 25.00 | Total Impulse: 0.20
MET: 00:00:01:796 | Thrust:  1.38 | Chamber Pres: 16.59 | Throttle: 25.00 | Total Impulse: 0.21
MET: 00:00:01:895 | Thrust:  1.59 | Chamber Pres: 16.46 | Throttle: 25.00 | Total Impulse: 0.23
MET: 00:00:01:999 | Thrust:  2.08 | Chamber Pres: 16.64 | Throttle: 25.00 | Total Impulse: 0.25
MET: 00:00:02:095 | Thrust:  2.57 | Chamber Pres: 16.97 | Throttle: 25.00 | Total Impulse: 0.28
MET: 00:00:02:192 | Thrust:  2.76 | Chamber Pres: 16.88 | Throttle: 25.00 | Total Impulse: 0.30
MET: 00:00:02:316 | Thrust:  2.62 | Chamber Pres: 16.80 | Throttle: 25.00 | Total Impulse: 0.33
MET: 00:00:02:444 | Thrust:  1.88 | Chamber Pres: 16.78 | Throttle: 25.00 | Total Impulse: 0.35
MET: 00:00:02:542 | Thrust:  1.28 | Chamber Pres: 16.75 | Throttle: 25.00 | Total Impulse: 0.36
MET: 00:00:02:643 | Thrust:  1.35 | Chamber Pres: 16.71 | Throttle: 25.00 | Total Impulse: 0.37
MET: 00:00:02:741 | Thrust:  1.37 | Chamber Pres: 16.70 | Throttle: 25.00 | Total Impulse: 0.39
MET: 00:00:02:837 | Thrust:  1.48 | Chamber Pres: 16.66 | Throttle: 25.00 | Total Impulse: 0.40
MET: 00:00:02:934 | Thrust:  1.52 | Chamber Pres: 16.57 | Throttle: 25.00 | Total Impulse: 0.42
MET: 00:00:03:025 | Thrust:  1.54 | Chamber Pres: 16.52 | Throttle: 25.00 | Total Impulse: 0.43
MET: 00:00:03:123 | Thrust:  1.95 | Chamber Pres: 16.45 | Throttle: 25.00 | Total Impulse: 0.45
MET: 00:00:03:219 | Thrust:  2.11 | Chamber Pres: 16.42 | Throttle: 25.00 | Total Impulse: 0.47
MET: 00:00:03:314 | Thrust:  1.92 | Chamber Pres: 16.41 | Throttle: 25.00 | Total Impulse: 0.49
MET: 00:00:03:409 | Thrust:  2.10 | Chamber Pres: 16.42 | Throttle: 25.00 | Total Impulse: 0.51
MET: 00:00:03:503 | Thrust:  1.54 | Chamber Pres: 16.36 | Throttle: 25.00 | Total Impulse: 0.53
MET: 00:00:03:654 | Thrust:  2.37 | Chamber Pres: 16.31 | Throttle: 25.00 | Total Impulse: 0.55
MET: 00:00:03:746 | Thrust:  2.88 | Chamber Pres: 16.29 | Throttle: 25.00 | Total Impulse: 0.58
MET: 00:00:03:842 | Thrust:  3.52 | Chamber Pres: 16.34 | Throttle: 25.00 | Total Impulse: 0.61
MET: 00:00:03:939 | Thrust:  3.89 | Chamber Pres: 16.43 | Throttle: 25.00 | Total Impulse: 0.65
MET: 00:00:04:036 | Thrust:  5.46 | Chamber Pres: 16.67 | Throttle: 25.00 | Total Impulse: 0.71
MET: 00:00:04:127 | Thrust: 10.57 | Chamber Pres: 16.78 | Throttle: 25.00 | Total Impulse: 0.81
MET: 00:00:04:272 | Thrust: 19.90 | Chamber Pres: 16.71 | Throttle: 25.00 | Total Impulse: 1.01
MET: 00:00:04:323 | Thrust: 32.75 | Chamber Pres: 16.70 | Throttle: 25.00 | Total Impulse: 1.33
MET: 00:00:04:423 | Thrust: 46.62 | Chamber Pres: 16.70 | Throttle: 25.00 | Total Impulse: 1.79
MET: 00:00:04:570 | Thrust: 58.66 | Chamber Pres: 16.69 | Throttle: 25.00 | Total Impulse: 2.37
MET: 00:00:04:665 | Thrust: 68.35 | Chamber Pres: 16.67 | Throttle: 25.00 | Total Impulse: 3.05
MET: 00:00:04:758 | Thrust: 75.56 | Chamber Pres: 16.59 | Throttle: 25.00 | Total Impulse: 3.80
MET: 00:00:04:860 | Thrust: 81.93 | Chamber Pres: 16.65 | Throttle: 25.00 | Total Impulse: 4.61
MET: 00:00:04:954 | Thrust: 88.20 | Chamber Pres: 16.65 | Throttle: 25.00 | Total Impulse: 5.48
MET: 00:00:05:051 | Thrust: 94.46 | Chamber Pres: 16.56 | Throttle: 25.00 | Total Impulse: 6.42
MET: 00:00:05:146 | Thrust: 100.57 | Chamber Pres: 16.56 | Throttle: 25.00 | Total Impulse: 7.41
MET: 00:00:05:237 | Thrust: 104.89 | Chamber Pres: 16.90 | Throttle: 25.00 | Total Impulse: 8.45
MET: 00:00:05:331 | Thrust: 107.85 | Chamber Pres: 17.36 | Throttle: 25.00 | Total Impulse: 9.52
MET: 00:00:05:421 | Thrust: 108.36 | Chamber Pres: 17.40 | Throttle: 25.00 | Total Impulse: 10.59
MET: 00:00:05:570 | Thrust: 107.48 | Chamber Pres: 17.39 | Throttle: 25.00 | Total Impulse: 11.66
MET: 00:00:05:661 | Thrust: 106.44 | Chamber Pres: 17.37 | Throttle: 25.00 | Total Impulse: 12.71
MET: 00:00:05:753 | Thrust: 104.94 | Chamber Pres: 17.39 | Throttle: 25.00 | Total Impulse: 13.75
MET: 00:00:05:845 | Thrust: 103.30 | Chamber Pres: 17.32 | Throttle: 25.00 | Total Impulse: 14.77
MET: 00:00:05:962 | Thrust: 101.54 | Chamber Pres: 17.36 | Throttle: 25.00 | Total Impulse: 15.77
MET: 00:00:06:055 | Thrust: 99.15 | Chamber Pres: 17.37 | Throttle: 25.00 | Total Impulse: 16.75
MET: 00:00:06:153 | Thrust: 96.06 | Chamber Pres: 17.30 | Throttle: 25.00 | Total Impulse: 17.70
MET: 00:00:06:288 | Thrust: 93.03 | Chamber Pres: 17.33 | Throttle: 25.00 | Total Impulse: 18.62
MET: 00:00:06:341 | Thrust: 90.38 | Chamber Pres: 17.36 | Throttle: 25.00 | Total Impulse: 19.52
MET: 00:00:06:485 | Thrust: 87.75 | Chamber Pres: 17.38 | Throttle: 25.00 | Total Impulse: 20.39
MET: 00:00:06:582 | Thrust: 85.34 | Chamber Pres: 17.33 | Throttle: 25.00 | Total Impulse: 21.23
MET: 00:00:06:674 | Thrust: 82.86 | Chamber Pres: 17.39 | Throttle: 25.00 | Total Impulse: 22.05
MET: 00:00:06:770 | Thrust: 80.59 | Chamber Pres: 17.38 | Throttle: 25.00 | Total Impulse: 22.85
MET: 00:00:06:865 | Thrust: 78.42 | Chamber Pres: 17.37 | Throttle: 25.00 | Total Impulse: 23.63
MET: 00:00:06:963 | Thrust: 76.80 | Chamber Pres: 17.44 | Throttle: 25.00 | Total Impulse: 24.39
MET: 00:00:07:085 | Thrust: 75.49 | Chamber Pres: 17.35 | Throttle: 25.00 | Total Impulse: 25.13
MET: 00:00:07:151 | Thrust: 73.51 | Chamber Pres: 17.29 | Throttle: 25.00 | Total Impulse: 25.86
MET: 00:00:07:250 | Thrust: 70.38 | Chamber Pres: 17.33 | Throttle: 25.00 | Total Impulse: 26.56
MET: 00:00:07:350 | Thrust: 64.09 | Chamber Pres: 17.33 | Throttle: 25.00 | Total Impulse: 27.19
MET: 00:00:07:524 | Thrust: 52.98 | Chamber Pres: 17.31 | Throttle: 25.00 | Total Impulse: 27.72
MET: 00:00:07:593 | Thrust: 39.65 | Chamber Pres: 17.38 | Throttle: 25.00 | Total Impulse: 28.11
MET: 00:00:07:690 | Thrust: 26.24 | Chamber Pres: 17.35 | Throttle: 25.00 | Total Impulse: 28.37
MET: 00:00:07:799 | Thrust: 14.91 | Chamber Pres: 17.34 | Throttle: 25.00 | Total Impulse: 28.52
MET: 00:00:07:874 | Thrust:  8.21 | Chamber Pres: 17.32 | Throttle: 25.00 | Total Impulse: 28.60
MET: 00:00:07:975 | Thrust:  4.66 | Chamber Pres: 17.35 | Throttle: 25.00 | Total Impulse: 28.64
MET: 00:00:08:073 | Thrust:  2.62 | Chamber Pres: 17.42 | Throttle: 25.00 | Total Impulse: 28.67
MET: 00:00:08:165 | Thrust:  1.61 | Chamber Pres: 17.41 | Throttle: 25.00 | Total Impulse: 28.69
MET: 00:00:08:258 | Thrust:  1.46 | Chamber Pres: 17.33 | Throttle: 25.00 | Total Impulse: 28.70
MET: 00:00:08:355 | Thrust:  1.46 | Chamber Pres: 17.33 | Throttle: 25.00 | Total Impulse: -Infinity
