MET: 00:00:00:000 | Thrust:  0.52 | Chamber Pres: 16.39 | Throttle: 10.00 | Total Impulse: 0.05
MET: 00:00:00:235 | Thrust:  0.09 | Chamber Pres: 14.84 | Throttle: 15.00 | Total Impulse: 0.06
MET: 00:00:00:340 | Thrust:  0.00 | Chamber Pres: 15.96 | Throttle: 25.00 | Total Impulse: 0.06
MET: 00:00:00:436 | Thrust:  0.00 | Chamber Pres: 13.66 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:00:586 | Thrust:  0.00 | Chamber Pres: 17.46 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:00:757 | Thrust:  0.00 | Chamber Pres: 17.04 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:00:889 | Thrust:  0.00 | Chamber Pres: 16.96 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:01:043 | Thrust:  0.00 | Chamber Pres: 16.93 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:01:175 | Thrust:  0.00 | Chamber Pres: 16.89 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:01:328 | Thrust:  0.00 | Chamber Pres: 16.70 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:01:483 | Thrust:  0.00 | Chamber Pres: 16.63 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:01:601 | Thrust:  0.00 | Chamber Pres: 16.68 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:01:740 | Thrust:  0.00 | Chamber Pres: 16.66 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:01:842 | Thrust:  0.00 | Chamber Pres: 16.66 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:01:964 | Thrust:  0.00 | Chamber Pres: 16.55 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:02:094 | Thrust:  0.00 | Chamber Pres: 16.61 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:02:205 | Thrust:  0.00 | Chamber Pres: 16.58 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:02:344 | Thrust:  0.00 | Chamber Pres: 16.53 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:02:486 | Thrust:  0.00 | Chamber Pres: 16.51 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:02:625 | Thrust:  0.00 | Chamber Pres: 16.45 | Throttle: 25.00 | Total Impulse: 0.06
MET: 00:00:02:743 | Thrust:  0.00 | Chamber Pres: 15.26 | Throttle: 20.00 | Total Impulse: 0.06
MET: 00:00:02:847 | Thrust:  0.00 | Chamber Pres: 15.35 | Throttle: 10.00 | Total Impulse: 0.06
MET: 00:00:02:944 | Thrust:  0.00 | Chamber Pres: 13.89 | Throttle: 0.00 | Total Impulse: 0.06
MET: 00:00:03:042 | Thrust:  0.00 | Chamber Pres: 17.22 | Throttle: 0.00 | Total Impulse: 0.06
MET: 00:00:03:136 | Thrust:  0.00 | Chamber Pres: 17.11 | Throttle: 0.00 | Total Impulse: 0.06
MET: 00:00:03:239 | Thrust:  0.00 | Chamber Pres: 16.98 | Throttle: 0.00 | Total Impulse: 0.06
MET: 00:00:03:335 | Thrust:  0.00 | Chamber Pres: 16.97 | Throttle: 0.00 | Total Impulse: 0.06
MET: 00:00:03:439 | Thrust:  0.00 | Chamber Pres: 16.86 | Throttle: 0.00 | Total Impulse: 0.06
MET: 00:00:03:537 | Thrust:  0.00 | Chamber Pres: 16.90 | Throttle: 0.00 | Total Impulse: 0.06
MET: 00:00:03:637 | Thrust:  0.00 | Chamber Pres: 16.83 | Throttle: 0.00 | Total Impulse: 0.06
MET: 00:00:03:734 | Thrust:  0.04 | Chamber Pres: 16.72 | Throttle: 0.00 | Total Impulse: 0.07
MET: 00:00:03:844 | Thrust:  0.03 | Chamber Pres: 16.68 | Throttle: 0.00 | Total Impulse: 0.07
MET: 00:00:03:939 | Thrust:  0.18 | Chamber Pres: 16.43 | Throttle: 15.00 | Total Impulse: 0.09
MET: 00:00:04:042 | Thrust:  0.09 | Chamber Pres: 10.40 | Throttle: 50.00 | Total Impulse: 0.10
MET: 00:00:04:136 | Thrust:  0.00 | Chamber Pres: 13.18 | Throttle: 50.00 | Total Impulse: 0.10
MET: 00:00:04:246 | Thrust:  0.00 | Chamber Pres: 17.81 | Throttle: 50.00 | Total Impulse: 0.10
MET: 00:00:04:344 | Thrust:  0.00 | Chamber Pres: 18.04 | Throttle: 50.00 | Total Impulse: 0.10
MET: 00:00:04:439 | Thrust:  0.00 | Chamber Pres: 17.96 | Throttle: 50.00 | Total Impulse: 0.10
MET: 00:00:04:544 | Thrust:  0.00 | Chamber Pres: 17.96 | Throttle: 40.00 | Total Impulse: 0.10
MET: 00:00:04:654 | Thrust:  0.00 | Chamber Pres: 10.41 | Throttle: 0.00 | Total Impulse: 0.10
MET: 00:00:04:764 | Thrust:  0.00 | Chamber Pres: 13.26 | Throttle: 0.00 | Total Impulse: 0.10
MET: 00:00:04:886 | Thrust:  0.00 | Chamber Pres: 17.46 | Throttle: 0.00 | Total Impulse: 0.10
MET: 00:00:04:983 | Thrust:  0.00 | Chamber Pres: 17.70 | Throttle: 0.00 | Total Impulse: 0.10
MET: 00:00:05:090 | Thrust:  0.00 | Chamber Pres: 17.75 | Throttle: 0.00 | Total Impulse: 0.10
MET: 00:00:05:181 | Thrust:  0.00 | Chamber Pres: 17.71 | Throttle: 0.00 | Total Impulse: 0.10
MET: 00:00:05:280 | Thrust:  0.00 | Chamber Pres: 17.70 | Throttle: 0.00 | Total Impulse: 0.10
MET: 00:00:05:394 | Thrust:  0.00 | Chamber Pres: 17.65 | Throttle: 0.00 | Total Impulse: 0.10
MET: 00:00:05:537 | Thrust:  0.00 | Chamber Pres: 17.60 | Throttle: 0.00 | Total Impulse: 0.10
MET: 00:00:05:688 | Thrust:  0.00 | Chamber Pres: 17.63 | Throttle: 0.00 | Total Impulse: 0.10
MET: 00:00:05:837 | Thrust:  0.00 | Chamber Pres: 17.63 | Throttle: 0.00 | Total Impulse: 0.10
MET: 00:00:05:951 | Thrust:  0.00 | Chamber Pres: 17.62 | Throttle: 0.00 | Total Impulse: 0.10
