MET: 00:00:00:000 | Thrust:  0.00 | Chamber Pres: 15.14 | Throttle: 5.00 | Total Impulse: 0.00
MET: 00:00:00:104 | Thrust:  0.00 | Chamber Pres: 13.03 | Throttle: 25.00 | Total Impulse: 0.00
MET: 00:00:00:163 | Thrust:  0.00 | Chamber Pres: 12.44 | Throttle: 50.00 | Total Impulse: 0.00
MET: 00:00:00:276 | Thrust:  0.00 | Chamber Pres: 13.48 | Throttle: 80.00 | Total Impulse: 0.00
MET: 00:00:00:393 | Thrust:  0.46 | Chamber Pres: 13.96 | Throttle: 100.00 | Total Impulse: 0.05
MET: 00:00:00:493 | Thrust:  0.70 | Chamber Pres: 15.60 | Throttle: 100.00 | Total Impulse: 0.12
MET: 00:00:00:614 | Thrust:  0.49 | Chamber Pres: 17.83 | Throttle: 100.00 | Total Impulse: 0.17
MET: 00:00:00:687 | Thrust:  0.41 | Chamber Pres: 17.77 | Throttle: 100.00 | Total Impulse: 0.21
MET: 00:00:00:823 | Thrust:  0.64 | Chamber Pres: 17.78 | Throttle: 100.00 | Total Impulse: 0.27
MET: 00:00:00:877 | Thrust:  0.82 | Chamber Pres: 17.82 | Throttle: 100.00 | Total Impulse: 0.36
MET: 00:00:01:031 | Thrust:  0.96 | Chamber Pres: 17.77 | Throttle: 100.00 | Total Impulse: 0.45
MET: 00:00:01:087 | Thrust:  0.96 | Chamber Pres: 17.80 | Throttle: 100.00 | Total Impulse: 0.55
MET: 00:00:01:193 | Thrust:  0.92 | Chamber Pres: 17.73 | Throttle: 100.00 | Total Impulse: 0.64
MET: 00:00:01:304 | Thrust:  0.97 | Chamber Pres: 17.72 | Throttle: 100.00 | Total Impulse: 0.74
MET: 00:00:01:420 | Thrust:  1.00 | Chamber Pres: 17.76 | Throttle: 100.00 | Total Impulse: 0.84
MET: 00:00:01:483 | Thrust:  1.02 | Chamber Pres: 17.78 | Throttle: 100.00 | Total Impulse: 0.94
MET: 00:00:01:624 | Thrust:  1.03 | Chamber Pres: 17.74 | Throttle: 100.00 | Total Impulse: 1.05
MET: 00:00:01:680 | Thrust:  1.01 | Chamber Pres: 17.75 | Throttle: 100.00 | Total Impulse: 1.15
MET: 00:00:01:821 | Thrust:  1.06 | Chamber Pres: 17.76 | Throttle: 100.00 | Total Impulse: 1.26
MET: 00:00:01:882 | Thrust:  1.04 | Chamber Pres: 17.67 | Throttle: 100.00 | Total Impulse: 1.36
MET: 00:00:02:035 | Thrust:  1.04 | Chamber Pres: 17.68 | Throttle: 100.00 | Total Impulse: 1.47
MET: 00:00:02:092 | Thrust:  1.08 | Chamber Pres: 17.68 | Throttle: 100.00 | Total Impulse: 1.58
MET: 00:00:02:210 | Thrust:  1.05 | Chamber Pres: 17.64 | Throttle: 100.00 | Total Impulse: 1.68
MET: 00:00:02:330 | Thrust:  1.01 | Chamber Pres: 17.62 | Throttle: 100.00 | Total Impulse: 1.79
