MET: 00:00:00:000 | Thrust:  0.00 | Chamber Pres: 15.77 | Throttle: 5.00 | Total Impulse: 0.00
MET: 00:00:00:080 | Thrust:  0.00 | Chamber Pres: 15.76 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:00:141 | Thrust:  0.39 | Chamber Pres: 14.17 | Throttle: 30.00 | Total Impulse: 0.00
MET: 00:00:00:261 | Thrust:  0.30 | Chamber Pres: 16.12 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:00:387 | Thrust:  0.14 | Chamber Pres: 17.10 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:00:454 | Thrust:  0.14 | Chamber Pres: 17.03 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:00:522 | Thrust:  0.14 | Chamber Pres: 17.03 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:00:590 | Thrust:  0.08 | Chamber Pres: 16.92 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:00:659 | Thrust:  0.29 | Chamber Pres: 16.83 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:00:724 | Thrust:  0.72 | Chamber Pres: 16.80 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:00:832 | Thrust:  0.69 | Chamber Pres: 16.76 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:00:939 | Thrust:  0.47 | Chamber Pres: 16.71 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:01:050 | Thrust:  0.00 | Chamber Pres: 16.65 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:01:169 | Thrust:  0.00 | Chamber Pres: 16.62 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:01:282 | Thrust:  0.00 | Chamber Pres: 16.55 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:01:339 | Thrust:  0.00 | Chamber Pres: 16.91 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:01:454 | Thrust:  0.00 | Chamber Pres: 16.88 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:01:564 | Thrust:  0.00 | Chamber Pres: 16.82 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:01:668 | Thrust:  0.00 | Chamber Pres: 16.81 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:01:735 | Thrust:  0.00 | Chamber Pres: 16.75 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:01:881 | Thrust:  0.00 | Chamber Pres: 16.53 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:01:977 | Thrust:  0.18 | Chamber Pres: 16.74 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:02:068 | Thrust:  0.28 | Chamber Pres: 16.65 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:02:164 | Thrust:  0.36 | Chamber Pres: 16.59 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:02:261 | Thrust:  0.75 | Chamber Pres: 16.58 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:02:357 | Thrust:  0.86 | Chamber Pres: 16.59 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:02:451 | Thrust:  0.84 | Chamber Pres: 16.56 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:02:548 | Thrust:  1.91 | Chamber Pres: 16.85 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:02:669 | Thrust:  5.46 | Chamber Pres: 16.92 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:02:766 | Thrust: 11.84 | Chamber Pres: 16.97 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:02:865 | Thrust: 21.30 | Chamber Pres: 16.94 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:02:967 | Thrust: 32.19 | Chamber Pres: 16.92 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:03:062 | Thrust: 42.67 | Chamber Pres: 16.83 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:03:156 | Thrust: 52.26 | Chamber Pres: 16.84 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:03:257 | Thrust: 59.64 | Chamber Pres: 16.87 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:03:363 | Thrust: 66.19 | Chamber Pres: 16.83 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:03:468 | Thrust: 66.09 | Chamber Pres: 16.77 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:03:587 | Thrust: 64.69 | Chamber Pres: 16.77 | Throttle: 35.00 | Total Impulse: 0.00
MET: 00:00:03:692 | Thrust: 60.87 | Chamber Pres: 16.80 | Throttle: 35.00 | Total Impulse: 0.00
