MET: 00:00:02:725 | Thrust: -1.13 | Chamber Pres:  2.42 | Throttle: 100.00 | Total Impulse: -0.70
MET: 00:00:02:770 | Thrust: -1.13 | Chamber Pres:  2.33 | Throttle: 100.00 | Total Impulse: -0.73
MET: 00:00:02:816 | Thrust: -1.43 | Chamber Pres:  2.29 | Throttle: 100.00 | Total Impulse: -0.76
MET: 00:00:02:862 | Thrust: -1.43 | Chamber Pres:  2.41 | Throttle: 100.00 | Total Impulse: -0.80
MET: 00:00:02:910 | Thrust: -1.43 | Chamber Pres:  2.30 | Throttle: 100.00 | Total Impulse: -0.83
MET: 00:00:02:959 | Thrust: -1.20 | Chamber Pres:  2.40 | Throttle: 100.00 | Total Impulse: -0.86
MET: 00:00:03:006 | Thrust: -1.20 | Chamber Pres:  2.43 | Throttle: 100.00 | Total Impulse: -0.89
MET: 00:00:03:053 | Thrust: -0.68 | Chamber Pres:  2.40 | Throttle: 100.00 | Total Impulse: -0.91
MET: 00:00:03:102 | Thrust: -0.68 | Chamber Pres:  2.14 | Throttle: 100.00 | Total Impulse: -0.92
MET: 00:00:03:158 | Thrust:  0.07 | Chamber Pres:  2.30 | Throttle: 100.00 | Total Impulse: -0.92
MET: 00:00:03:207 | Thrust:  0.07 | Chamber Pres:  2.13 | Throttle: 100.00 | Total Impulse: -0.92
MET: 00:00:03:255 | Thrust:  0.07 | Chamber Pres:  2.32 | Throttle: 100.00 | Total Impulse: -0.92
MET: 00:00:03:302 | Thrust:  0.34 | Chamber Pres:  2.12 | Throttle: 100.00 | Total Impulse: -0.91
MET: 00:00:03:347 | Thrust:  0.34 | Chamber Pres:  2.32 | Throttle: 100.00 | Total Impulse: -0.90
MET: 00:00:03:392 | Thrust:  0.24 | Chamber Pres:  1.60 | Throttle: 95.00 | Total Impulse: -0.90
MET: 00:00:03:440 | Thrust:  0.24 | Chamber Pres:  2.72 | Throttle: 90.00 | Total Impulse: -0.89
MET: 00:00:03:488 | Thrust:  0.46 | Chamber Pres: -0.41 | Throttle: 90.00 | Total Impulse: -0.88
MET: 00:00:03:536 | Thrust:  0.46 | Chamber Pres:  0.78 | Throttle: 85.00 | Total Impulse: -0.87
MET: 00:00:03:583 | Thrust:  0.46 | Chamber Pres:  2.68 | Throttle: 80.00 | Total Impulse: -0.86
MET: 00:00:03:629 | Thrust:  0.50 | Chamber Pres:  0.55 | Throttle: 80.00 | Total Impulse: -0.84
MET: 00:00:03:677 | Thrust:  0.50 | Chamber Pres: -0.28 | Throttle: 75.00 | Total Impulse: -0.83
MET: 00:00:03:726 | Thrust:  0.54 | Chamber Pres:  1.53 | Throttle: 70.00 | Total Impulse: -0.82
MET: 00:00:03:772 | Thrust:  0.54 | Chamber Pres:  1.53 | Throttle: 70.00 | Total Impulse: -0.81
MET: 00:00:03:820 | Thrust:  0.57 | Chamber Pres:  0.84 | Throttle: 65.00 | Total Impulse: -0.79
MET: 00:00:03:865 | Thrust:  0.57 | Chamber Pres:  2.91 | Throttle: 60.00 | Total Impulse: -0.78
MET: 00:00:03:911 | Thrust:  0.57 | Chamber Pres: -1.09 | Throttle: 60.00 | Total Impulse: -0.76
MET: 00:00:03:958 | Thrust: -0.01 | Chamber Pres:  0.65 | Throttle: 55.00 | Total Impulse: -0.76
MET: 00:00:04:004 | Thrust: -0.01 | Chamber Pres:  1.30 | Throttle: 55.00 | Total Impulse: -0.77
MET: 00:00:04:050 | Thrust: -0.35 | Chamber Pres:  1.91 | Throttle: 50.00 | Total Impulse: -0.77
MET: 00:00:04:099 | Thrust: -0.35 | Chamber Pres:  1.53 | Throttle: 45.00 | Total Impulse: -0.78
MET: 00:00:04:148 | Thrust: -0.35 | Chamber Pres: -0.57 | Throttle: 45.00 | Total Impulse: -0.79
MET: 00:00:04:194 | Thrust: -0.32 | Chamber Pres:  3.09 | Throttle: 40.00 | Total Impulse: -0.80
MET: 00:00:04:241 | Thrust: -0.32 | Chamber Pres: -0.33 | Throttle: 40.00 | Total Impulse: -0.81
MET: 00:00:04:287 | Thrust: -0.69 | Chamber Pres:  3.10 | Throttle: 40.00 | Total Impulse: -0.82
MET: 00:00:04:334 | Thrust: -0.69 | Chamber Pres:  0.41 | Throttle: 35.00 | Total Impulse: -0.84
MET: 00:00:04:379 | Thrust: -0.52 | Chamber Pres:  1.66 | Throttle: 35.00 | Total Impulse: -0.85
MET: 00:00:04:426 | Thrust: -0.52 | Chamber Pres:  2.93 | Throttle: 35.00 | Total Impulse: -0.87
MET: 00:00:04:472 | Thrust: -0.52 | Chamber Pres:  2.84 | Throttle: 35.00 | Total Impulse: -0.88
MET: 00:00:04:517 | Thrust: -0.36 | Chamber Pres:  2.42 | Throttle: 35.00 | Total Impulse: -0.89
MET: 00:00:04:562 | Thrust: -0.36 | Chamber Pres:  2.52 | Throttle: 35.00 | Total Impulse: -0.90
MET: 00:00:04:609 | Thrust: -0.76 | Chamber Pres:  2.83 | Throttle: 35.00 | Total Impulse: -0.91
MET: 00:00:04:656 | Thrust: -0.76 | Chamber Pres:  2.63 | Throttle: 35.00 | Total Impulse: -0.93
MET: 00:00:04:705 | Thrust: -0.70 | Chamber Pres:  2.59 | Throttle: 35.00 | Total Impulse: -0.95
MET: 00:00:04:751 | Thrust: -0.70 | Chamber Pres:  2.57 | Throttle: 35.00 | Total Impulse: -0.97
MET: 00:00:04:798 | Thrust: -0.70 | Chamber Pres:  2.63 | Throttle: 30.00 | Total Impulse: -0.98
MET: 00:00:04:845 | Thrust: -0.85 | Chamber Pres: -0.34 | Throttle: 30.00 | Total Impulse: -1.00
MET: 00:00:04:902 | Thrust: -0.85 | Chamber Pres:  0.10 | Throttle: 25.00 | Total Impulse: -1.03
MET: 00:00:04:951 | Thrust: -0.99 | Chamber Pres: -0.36 | Throttle: 20.00 | Total Impulse: -1.05
MET: 00:00:05:008 | Thrust: -0.99 | Chamber Pres:  2.24 | Throttle: 15.00 | Total Impulse: -1.07
MET: 00:00:05:055 | Thrust: -1.14 | Chamber Pres:  1.10 | Throttle: 15.00 | Total Impulse: -1.10
MET: 00:00:05:102 | Thrust: -1.14 | Chamber Pres: -0.85 | Throttle: 10.00 | Total Impulse: -1.13
MET: 00:00:05:149 | Thrust: -1.14 | Chamber Pres:  1.87 | Throttle: 5.00 | Total Impulse: -1.16
MET: 00:00:05:196 | Thrust: -1.59 | Chamber Pres:  0.40 | Throttle: 0.00 | Total Impulse: -1.19
MET: 00:00:05:244 | Thrust: -1.59 | Chamber Pres:  0.20 | Throttle: 0.00 | Total Impulse: -1.23
MET: 00:00:05:294 | Thrust: -1.71 | Chamber Pres:  2.51 | Throttle: 0.00 | Total Impulse: -1.28
MET: 00:00:05:342 | Thrust: -1.71 | Chamber Pres:  2.47 | Throttle: 0.00 | Total Impulse: -1.32
MET: 00:00:05:392 | Thrust: -1.71 | Chamber Pres:  2.43 | Throttle: 0.00 | Total Impulse: -1.36
MET: 00:00:05:440 | Thrust: -1.24 | Chamber Pres:  2.51 | Throttle: 0.00 | Total Impulse: -1.39
MET: 00:00:05:488 | Thrust: -1.24 | Chamber Pres:  2.48 | Throttle: 0.00 | Total Impulse: -1.42
MET: 00:00:05:535 | Thrust: -0.41 | Chamber Pres:  2.36 | Throttle: 0.00 | Total Impulse: -1.43
MET: 00:00:05:581 | Thrust: -0.41 | Chamber Pres:  2.47 | Throttle: 0.00 | Total Impulse: -1.44
MET: 00:00:05:629 | Thrust:  0.50 | Chamber Pres:  2.33 | Throttle: 0.00 | Total Impulse: -1.43
MET: 00:00:05:676 | Thrust:  0.50 | Chamber Pres:  2.41 | Throttle: 0.00 | Total Impulse: -1.41
MET: 00:00:05:727 | Thrust:  0.50 | Chamber Pres:  2.32 | Throttle: 0.00 | Total Impulse: -1.40
MET: 00:00:05:779 | Thrust:  0.85 | Chamber Pres:  2.34 | Throttle: 0.00 | Total Impulse: -1.38
MET: 00:00:05:841 | Thrust:  0.85 | Chamber Pres:  2.29 | Throttle: 0.00 | Total Impulse: -1.36
MET: 00:00:05:901 | Thrust:  0.47 | Chamber Pres:  2.28 | Throttle: 0.00 | Total Impulse: -1.35
MET: 00:00:05:960 | Thrust:  0.47 | Chamber Pres:  2.24 | Throttle: 0.00 | Total Impulse: -1.34
MET: 00:00:06:008 | Thrust: -0.14 | Chamber Pres:  2.28 | Throttle: 0.00 | Total Impulse: -1.34
MET: 00:00:06:060 | Thrust: -0.14 | Chamber Pres:  2.20 | Throttle: 0.00 | Total Impulse: -1.34
MET: 00:00:06:112 | Thrust: -0.14 | Chamber Pres:  2.19 | Throttle: 0.00 | Total Impulse: -1.35
MET: 00:00:06:160 | Thrust: -0.71 | Chamber Pres:  2.22 | Throttle: 0.00 | Total Impulse: -1.37
MET: 00:00:06:208 | Thrust: -0.71 | Chamber Pres:  2.14 | Throttle: 0.00 | Total Impulse: -1.38
MET: 00:00:06:258 | Thrust: -0.82 | Chamber Pres:  2.12 | Throttle: 0.00 | Total Impulse: -1.40
MET: 00:00:06:306 | Thrust: -0.82 | Chamber Pres:  2.08 | Throttle: 0.00 | Total Impulse: -1.42
MET: 00:00:06:354 | Thrust: -0.62 | Chamber Pres:  2.24 | Throttle: 0.00 | Total Impulse: -1.44
MET: 00:00:06:400 | Thrust: -0.62 | Chamber Pres:  2.38 | Throttle: 0.00 | Total Impulse: -1.45
MET: 00:00:06:447 | Thrust: -0.62 | Chamber Pres:  2.61 | Throttle: 0.00 | Total Impulse: -1.47
MET: 00:00:06:495 | Thrust: -0.08 | Chamber Pres:  2.52 | Throttle: 0.00 | Total Impulse: -1.47
MET: 00:00:06:543 | Thrust: -0.08 | Chamber Pres:  2.55 | Throttle: 0.00 | Total Impulse: -1.47
MET: 00:00:06:590 | Thrust:  0.43 | Chamber Pres:  2.42 | Throttle: 0.00 | Total Impulse: -1.46
MET: 00:00:06:638 | Thrust:  0.43 | Chamber Pres:  2.55 | Throttle: 0.00 | Total Impulse: -1.45
MET: 00:00:06:686 | Thrust:  0.63 | Chamber Pres:  2.41 | Throttle: 0.00 | Total Impulse: -1.44
MET: 00:00:06:736 | Thrust:  0.63 | Chamber Pres:  2.56 | Throttle: 0.00 | Total Impulse: -1.42
MET: 00:00:06:787 | Thrust:  0.63 | Chamber Pres:  2.41 | Throttle: 0.00 | Total Impulse: -1.40
MET: 00:00:06:836 | Thrust:  0.76 | Chamber Pres:  2.51 | Throttle: 0.00 | Total Impulse: -1.39
MET: 00:00:06:883 | Thrust:  0.76 | Chamber Pres:  2.37 | Throttle: 0.00 | Total Impulse: -1.37
MET: 00:00:06:928 | Thrust:  0.79 | Chamber Pres:  2.44 | Throttle: 0.00 | Total Impulse: -1.35
MET: 00:00:06:977 | Thrust:  0.79 | Chamber Pres:  2.23 | Throttle: 0.00 | Total Impulse: -1.33
MET: 00:00:07:024 | Thrust:  0.79 | Chamber Pres:  2.47 | Throttle: 0.00 | Total Impulse: -1.31
MET: 00:00:07:070 | Thrust:  0.56 | Chamber Pres:  2.29 | Throttle: 0.00 | Total Impulse: -1.30
MET: 00:00:07:116 | Thrust:  0.56 | Chamber Pres:  2.45 | Throttle: 0.00 | Total Impulse: -1.28
MET: 00:00:07:162 | Thrust:  0.26 | Chamber Pres:  2.18 | Throttle: 0.00 | Total Impulse: -1.28
MET: 00:00:07:213 | Thrust:  0.26 | Chamber Pres:  2.42 | Throttle: 0.00 | Total Impulse: -1.27
MET: 00:00:07:262 | Thrust:  0.09 | Chamber Pres:  2.21 | Throttle: 0.00 | Total Impulse: -1.27
MET: 00:00:07:309 | Thrust:  0.09 | Chamber Pres:  2.46 | Throttle: 0.00 | Total Impulse: -1.27
MET: 00:00:07:357 | Thrust:  0.09 | Chamber Pres:  2.16 | Throttle: 0.00 | Total Impulse: -1.26
MET: 00:00:07:423 | Thrust:  0.42 | Chamber Pres:  2.38 | Throttle: 0.00 | Total Impulse: -1.25
MET: 00:00:07:486 | Thrust:  0.42 | Chamber Pres:  2.11 | Throttle: 0.00 | Total Impulse: -1.24
MET: 00:00:07:533 | Thrust:  0.70 | Chamber Pres:  2.40 | Throttle: 0.00 | Total Impulse: -1.23
MET: 00:00:07:582 | Thrust:  0.70 | Chamber Pres:  2.23 | Throttle: 0.00 | Total Impulse: -1.21
