MET: 00:00:00:000 | Thrust:  1.00 | Chamber Pres: 14.30 | Throttle: 35.00 | Total Impulse: 0.10
MET: 00:00:00:101 | Thrust:  1.00 | Chamber Pres: 14.92 | Throttle: 35.00 | Total Impulse: 0.20
MET: 00:00:00:159 | Thrust:  1.00 | Chamber Pres: 18.65 | Throttle: 35.00 | Total Impulse: 0.30
MET: 00:00:00:216 | Thrust:  1.00 | Chamber Pres: 18.53 | Throttle: 35.00 | Total Impulse: 0.40
MET: 00:00:00:271 | Thrust:  1.00 | Chamber Pres: 18.62 | Throttle: 35.00 | Total Impulse: 0.50
MET: 00:00:00:341 | Thrust:  1.00 | Chamber Pres: 18.66 | Throttle: 35.00 | Total Impulse: 0.61
MET: 00:00:00:417 | Thrust:  1.00 | Chamber Pres: 18.63 | Throttle: 35.00 | Total Impulse: 0.71
MET: 00:00:00:483 | Thrust:  1.00 | Chamber Pres: 18.56 | Throttle: 35.00 | Total Impulse: 0.81
MET: 00:00:00:550 | Thrust:  1.00 | Chamber Pres: 18.50 | Throttle: 35.00 | Total Impulse: 0.91
MET: 00:00:00:614 | Thrust:  1.00 | Chamber Pres: 18.45 | Throttle: 35.00 | Total Impulse: 1.01
MET: 00:00:00:670 | Thrust:  1.00 | Chamber Pres: 18.48 | Throttle: 35.00 | Total Impulse: 1.11
MET: 00:00:00:726 | Thrust:  1.00 | Chamber Pres: 18.43 | Throttle: 35.00 | Total Impulse: 1.21
MET: 00:00:00:783 | Thrust:  1.00 | Chamber Pres: 18.36 | Throttle: 35.00 | Total Impulse: 1.31
MET: 00:00:00:842 | Thrust:  1.00 | Chamber Pres: 18.34 | Throttle: 35.00 | Total Impulse: 1.41
MET: 00:00:00:900 | Thrust:  1.00 | Chamber Pres: 18.30 | Throttle: 35.00 | Total Impulse: 1.52
MET: 00:00:00:952 | Thrust:  1.00 | Chamber Pres: 18.32 | Throttle: 35.00 | Total Impulse: 1.62
MET: 00:00:01:009 | Thrust:  1.00 | Chamber Pres: 18.28 | Throttle: 35.00 | Total Impulse: 1.72
MET: 00:00:01:066 | Thrust:  1.00 | Chamber Pres: 16.71 | Throttle: 43.00 | Total Impulse: 1.82
MET: 00:00:01:123 | Thrust:  1.00 | Chamber Pres: 17.06 | Throttle: 47.00 | Total Impulse: 1.92
MET: 00:00:01:182 | Thrust:  1.00 | Chamber Pres: 18.49 | Throttle: 48.00 | Total Impulse: 2.02
MET: 00:00:01:244 | Thrust:  1.00 | Chamber Pres: 17.86 | Throttle: 52.00 | Total Impulse: 2.12
MET: 00:00:01:302 | Thrust:  1.00 | Chamber Pres: 17.97 | Throttle: 56.00 | Total Impulse: 2.22
MET: 00:00:01:358 | Thrust:  1.00 | Chamber Pres: 18.43 | Throttle: 58.00 | Total Impulse: 2.32
MET: 00:00:01:411 | Thrust:  1.00 | Chamber Pres: 18.12 | Throttle: 59.00 | Total Impulse: 2.42
MET: 00:00:01:469 | Thrust:  1.00 | Chamber Pres: 18.66 | Throttle: 60.00 | Total Impulse: 2.53
MET: 00:00:01:532 | Thrust:  1.00 | Chamber Pres: 18.44 | Throttle: 61.00 | Total Impulse: 2.63
MET: 00:00:01:589 | Thrust:  1.00 | Chamber Pres: 18.56 | Throttle: 62.00 | Total Impulse: 2.73
MET: 00:00:01:645 | Thrust:  1.00 | Chamber Pres: 17.43 | Throttle: 70.00 | Total Impulse: 2.83
