MET: 00:00:00:000 | Thrust:  0.01 | Chamber Pres:  3.33 | Throttle: 5.00 | Total Impulse: 0.00
MET: 00:00:00:098 | Thrust:  0.01 | Chamber Pres:  1.49 | Throttle: 10.00 | Total Impulse: 0.00
MET: 00:00:00:162 | Thrust:  0.00 | Chamber Pres:  0.01 | Throttle: 15.00 | Total Impulse: 0.00
MET: 00:00:00:222 | Thrust:  0.00 | Chamber Pres: -1.47 | Throttle: 20.00 | Total Impulse: 0.00
MET: 00:00:00:281 | Thrust:  0.06 | Chamber Pres: -1.31 | Throttle: 25.00 | Total Impulse: 0.00
MET: 00:00:00:340 | Thrust:  0.06 | Chamber Pres:  2.03 | Throttle: 25.00 | Total Impulse: 0.00
MET: 00:00:00:397 | Thrust:  0.18 | Chamber Pres:  3.26 | Throttle: 25.00 | Total Impulse: 0.01
MET: 00:00:00:459 | Thrust:  0.18 | Chamber Pres:  3.11 | Throttle: 25.00 | Total Impulse: 0.01
MET: 00:00:00:518 | Thrust:  0.18 | Chamber Pres:  3.05 | Throttle: 25.00 | Total Impulse: 0.02
MET: 00:00:00:577 | Thrust:  0.34 | Chamber Pres:  3.04 | Throttle: 25.00 | Total Impulse: 0.02
MET: 00:00:00:633 | Thrust:  0.34 | Chamber Pres:  3.07 | Throttle: 25.00 | Total Impulse: 0.03
MET: 00:00:00:693 | Thrust:  0.47 | Chamber Pres:  3.02 | Throttle: 25.00 | Total Impulse: 0.04
MET: 00:00:00:756 | Thrust:  0.47 | Chamber Pres:  2.99 | Throttle: 30.00 | Total Impulse: 0.06
MET: 00:00:00:829 | Thrust:  0.46 | Chamber Pres: -3.72 | Throttle: 40.00 | Total Impulse: 0.07
MET: 00:00:00:896 | Thrust:  0.46 | Chamber Pres: -3.69 | Throttle: 45.00 | Total Impulse: 0.08
MET: 00:00:00:968 | Thrust:  0.46 | Chamber Pres:  0.59 | Throttle: 45.00 | Total Impulse: 0.09
MET: 00:00:01:036 | Thrust:  0.23 | Chamber Pres:  3.14 | Throttle: 45.00 | Total Impulse: 0.10
MET: 00:00:01:098 | Thrust:  0.23 | Chamber Pres:  3.25 | Throttle: 45.00 | Total Impulse: 0.10
MET: 00:00:01:159 | Thrust: -0.07 | Chamber Pres:  3.18 | Throttle: 45.00 | Total Impulse: 0.10
MET: 00:00:01:217 | Thrust: -0.07 | Chamber Pres:  3.18 | Throttle: 45.00 | Total Impulse: 0.10
MET: 00:00:01:309 | Thrust: -0.13 | Chamber Pres:  3.20 | Throttle: 45.00 | Total Impulse: 0.09
MET: 00:00:01:370 | Thrust: -0.13 | Chamber Pres:  3.18 | Throttle: 45.00 | Total Impulse: 0.09
MET: 00:00:01:421 | Thrust: -0.13 | Chamber Pres:  1.91 | Throttle: 35.00 | Total Impulse: 0.09
MET: 00:00:01:485 | Thrust: -0.16 | Chamber Pres: -2.09 | Throttle: 25.00 | Total Impulse: 0.08
MET: 00:00:01:562 | Thrust: -0.16 | Chamber Pres: -1.32 | Throttle: 20.00 | Total Impulse: 0.08
MET: 00:00:01:612 | Thrust: -0.18 | Chamber Pres:  2.19 | Throttle: 20.00 | Total Impulse: 0.08
MET: 00:00:01:662 | Thrust: -0.18 | Chamber Pres:  3.05 | Throttle: 20.00 | Total Impulse: 0.07
MET: 00:00:01:712 | Thrust: -0.23 | Chamber Pres:  3.22 | Throttle: 20.00 | Total Impulse: 0.07
MET: 00:00:01:760 | Thrust: -0.23 | Chamber Pres:  3.16 | Throttle: 20.00 | Total Impulse: 0.06
MET: 00:00:01:810 | Thrust: -0.23 | Chamber Pres:  3.11 | Throttle: 20.00 | Total Impulse: 0.05
MET: 00:00:01:859 | Thrust: -0.21 | Chamber Pres:  3.12 | Throttle: 20.00 | Total Impulse: 0.05
MET: 00:00:01:912 | Thrust: -0.21 | Chamber Pres:  2.96 | Throttle: 10.00 | Total Impulse: 0.04
MET: 00:00:01:964 | Thrust: -0.16 | Chamber Pres: -4.01 | Throttle: 5.00 | Total Impulse: 0.04
MET: 00:00:02:017 | Thrust: -0.16 | Chamber Pres: -2.88 | Throttle: 0.00 | Total Impulse: 0.04
MET: 00:00:02:072 | Thrust: -0.16 | Chamber Pres:  2.57 | Throttle: 0.00 | Total Impulse: 0.03
MET: 00:00:02:126 | Thrust: -0.07 | Chamber Pres:  3.10 | Throttle: 0.00 | Total Impulse: 0.03
MET: 00:00:02:180 | Thrust: -0.07 | Chamber Pres:  2.94 | Throttle: 0.00 | Total Impulse: 0.03
MET: 00:00:02:230 | Thrust:  0.05 | Chamber Pres:  2.96 | Throttle: 0.00 | Total Impulse: 0.03
MET: 00:00:02:282 | Thrust:  0.05 | Chamber Pres:  2.87 | Throttle: 0.00 | Total Impulse: 0.03
MET: 00:00:02:336 | Thrust: -0.15 | Chamber Pres:  2.87 | Throttle: 0.00 | Total Impulse: 0.03
MET: 00:00:02:386 | Thrust: -0.15 | Chamber Pres:  2.87 | Throttle: 0.00 | Total Impulse: 0.02
MET: 00:00:02:436 | Thrust: -0.15 | Chamber Pres:  2.93 | Throttle: 0.00 | Total Impulse: 0.02
MET: 00:00:02:485 | Thrust: -0.33 | Chamber Pres:  2.80 | Throttle: 0.00 | Total Impulse: 0.01
MET: 00:00:02:537 | Thrust: -0.33 | Chamber Pres:  2.94 | Throttle: 0.00 | Total Impulse: 0.00
