MET: 00:00:00:000 | Thrust:  2.68 | Chamber Pres: 15.78 | Throttle: 10.00 | Total Impulse: 0.03
MET: 00:00:00:082 | Thrust:  2.67 | Chamber Pres: 15.04 | Throttle: 20.00 | Total Impulse: 0.05
MET: 00:00:00:142 | Thrust:  2.64 | Chamber Pres: 15.49 | Throttle: 25.00 | Total Impulse: 0.08
MET: 00:00:00:201 | Thrust:  2.56 | Chamber Pres: 17.05 | Throttle: 25.00 | Total Impulse: 0.10
MET: 00:00:00:313 | Thrust:  2.58 | Chamber Pres: 16.58 | Throttle: 25.00 | Total Impulse: 0.13
MET: 00:00:00:374 | Thrust:  2.76 | Chamber Pres: 16.84 | Throttle: 25.00 | Total Impulse: 0.16
MET: 00:00:00:511 | Thrust:  2.98 | Chamber Pres: 16.67 | Throttle: 25.00 | Total Impulse: 0.19
MET: 00:00:00:587 | Thrust:  3.02 | Chamber Pres: 16.60 | Throttle: 25.00 | Total Impulse: 0.22
MET: 00:00:00:713 | Thrust:  3.41 | Chamber Pres: 16.68 | Throttle: 25.00 | Total Impulse: 0.25
MET: 00:00:00:820 | Thrust:  3.19 | Chamber Pres: 16.82 | Throttle: 25.00 | Total Impulse: 0.28
MET: 00:00:00:870 | Thrust:  3.24 | Chamber Pres: 16.72 | Throttle: 25.00 | Total Impulse: 0.31
MET: 00:00:01:032 | Thrust:  3.44 | Chamber Pres: 16.72 | Throttle: 25.00 | Total Impulse: 0.35
MET: 00:00:01:087 | Thrust:  3.28 | Chamber Pres: 16.63 | Throttle: 25.00 | Total Impulse: 0.38
MET: 00:00:01:206 | Thrust:  3.27 | Chamber Pres: 16.58 | Throttle: 25.00 | Total Impulse: 0.41
MET: 00:00:01:269 | Thrust:  3.27 | Chamber Pres: 16.58 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:01:332 | Thrust:  3.35 | Chamber Pres: 16.56 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:01:393 | Thrust:  3.58 | Chamber Pres: 16.46 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:01:514 | Thrust:  3.83 | Chamber Pres: 16.45 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:01:573 | Thrust:  3.77 | Chamber Pres: 16.49 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:01:688 | Thrust:  3.60 | Chamber Pres: 16.49 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:01:798 | Thrust:  3.34 | Chamber Pres: 16.48 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:01:910 | Thrust:  3.39 | Chamber Pres: 16.47 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:02:005 | Thrust:  3.01 | Chamber Pres: 16.76 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:02:100 | Thrust:  2.85 | Chamber Pres: 16.69 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:02:202 | Thrust:  2.72 | Chamber Pres: 16.82 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:02:307 | Thrust:  2.13 | Chamber Pres: 16.86 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:02:423 | Thrust:  2.39 | Chamber Pres: 16.78 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:02:528 | Thrust:  3.02 | Chamber Pres: 16.85 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:02:630 | Thrust:  3.15 | Chamber Pres: 16.71 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:02:745 | Thrust:  3.21 | Chamber Pres: 16.71 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:02:802 | Thrust:  3.22 | Chamber Pres: 16.72 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:02:919 | Thrust:  2.97 | Chamber Pres: 16.71 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:03:031 | Thrust:  3.09 | Chamber Pres: 16.65 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:03:135 | Thrust:  3.70 | Chamber Pres: 16.61 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:03:187 | Thrust:  3.70 | Chamber Pres: 16.61 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:03:245 | Thrust:  4.58 | Chamber Pres: 16.62 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:03:310 | Thrust:  7.78 | Chamber Pres: 16.54 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:03:439 | Thrust: 14.61 | Chamber Pres: 16.52 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:03:510 | Thrust: 21.73 | Chamber Pres: 16.53 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:03:651 | Thrust: 24.44 | Chamber Pres: 16.48 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:03:707 | Thrust: 14.85 | Chamber Pres: 16.48 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:03:815 | Thrust:  7.32 | Chamber Pres: 16.48 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:03:938 | Thrust:  3.31 | Chamber Pres: 16.41 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:04:004 | Thrust:  2.37 | Chamber Pres: 16.32 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:04:114 | Thrust:  2.00 | Chamber Pres: 16.50 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:04:219 | Thrust:  1.87 | Chamber Pres: 16.88 | Throttle: 25.00 | Total Impulse: -Infinity
MET: 00:00:04:323 | Thrust:  1.89 | Chamber Pres: 16.82 | Throttle: 25.00 | Total Impulse: -Infinity
