MET: 00:00:00:067 | Thrust:  0.05 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 0.00
MET: 00:00:00:137 | Thrust: 59.54 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 1.49
MET: 00:00:00:200 | Thrust: 119.28 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 4.47
MET: 00:00:00:270 | Thrust: 93.05 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 6.80
MET: 00:00:00:334 | Thrust: 43.65 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 7.89
MET: 00:00:00:402 | Thrust: 209.45 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 13.13
MET: 00:00:00:468 | Thrust: 264.83 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 19.75
MET: 00:00:00:533 | Thrust: 124.45 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 22.86
MET: 00:00:00:595 | Thrust: 153.74 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 26.70
MET: 00:00:00:663 | Thrust: 383.43 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 36.29
MET: 00:00:00:728 | Thrust: 374.68 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 45.65
MET: 00:00:00:798 | Thrust: 70.92 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 47.43
MET: 00:00:00:861 | Thrust: 221.42 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 52.96
MET: 00:00:00:928 | Thrust: 319.27 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 60.94
MET: 00:00:01:000 | Thrust: 200.41 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 65.95
MET: 00:00:01:065 | Thrust: 10.31 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 66.21
MET: 00:00:01:130 | Thrust: 154.62 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 70.08
MET: 00:00:01:196 | Thrust: 158.12 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 74.03
MET: 00:00:01:260 | Thrust: 65.41 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 75.67
MET: 00:00:01:327 | Thrust: 20.89 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 76.19
MET: 00:00:01:401 | Thrust: 35.74 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 77.08
MET: 00:00:01:474 | Thrust: -0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 77.08
MET: 00:00:01:548 | Thrust: 13.91 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 77.43
MET: 00:00:01:628 | Thrust: 37.33 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 78.36
MET: 00:00:01:704 | Thrust: 116.43 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 81.27
MET: 00:00:01:777 | Thrust: 132.41 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 84.58
MET: 00:00:01:849 | Thrust: 26.73 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 85.25
MET: 00:00:01:916 | Thrust: 155.83 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 89.15
MET: 00:00:01:977 | Thrust: 279.92 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 96.15
MET: 00:00:02:043 | Thrust: 218.95 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 101.62
MET: 00:00:02:106 | Thrust: 31.35 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 102.40
MET: 00:00:02:165 | Thrust: 320.14 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 110.41
MET: 00:00:02:227 | Thrust: 431.42 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 121.19
MET: 00:00:02:285 | Thrust: 203.00 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 126.27
