MET: 00:00:00:000 | Thrust:  2.15 | Chamber Pres: 17.24 | Throttle: 40.00 | Total Impulse: 0.02
MET: 00:00:00:103 | Thrust:  1.94 | Chamber Pres: 17.27 | Throttle: 40.00 | Total Impulse: 0.04
MET: 00:00:00:200 | Thrust:  1.96 | Chamber Pres: 17.35 | Throttle: 40.00 | Total Impulse: 0.06
MET: 00:00:00:360 | Thrust:  2.15 | Chamber Pres: 17.29 | Throttle: 40.00 | Total Impulse: 0.08
MET: 00:00:00:459 | Thrust:  1.99 | Chamber Pres: 17.26 | Throttle: 40.00 | Total Impulse: 0.10
MET: 00:00:00:550 | Thrust:  2.16 | Chamber Pres: 17.23 | Throttle: 40.00 | Total Impulse: 0.12
MET: 00:00:00:638 | Thrust:  2.36 | Chamber Pres: 17.32 | Throttle: 40.00 | Total Impulse: 0.15
MET: 00:00:00:726 | Thrust:  2.33 | Chamber Pres: 17.26 | Throttle: 40.00 | Total Impulse: 0.17
MET: 00:00:00:814 | Thrust:  2.41 | Chamber Pres: 17.23 | Throttle: 40.00 | Total Impulse: 0.19
MET: 00:00:00:903 | Thrust:  2.41 | Chamber Pres: 17.24 | Throttle: 40.00 | Total Impulse: 0.22
MET: 00:00:01:020 | Thrust:  2.39 | Chamber Pres: 17.26 | Throttle: 40.00 | Total Impulse: 0.24
MET: 00:00:01:154 | Thrust:  2.16 | Chamber Pres: 17.23 | Throttle: 40.00 | Total Impulse: 0.26
MET: 00:00:01:211 | Thrust:  2.28 | Chamber Pres: 17.25 | Throttle: 40.00 | Total Impulse: 0.28
MET: 00:00:01:322 | Thrust:  2.15 | Chamber Pres: 17.27 | Throttle: 40.00 | Total Impulse: 0.31
MET: 00:00:01:438 | Thrust:  2.36 | Chamber Pres: 17.29 | Throttle: 40.00 | Total Impulse: 0.33
MET: 00:00:01:495 | Thrust:  2.59 | Chamber Pres: 17.32 | Throttle: 40.00 | Total Impulse: 0.35
MET: 00:00:01:614 | Thrust:  2.75 | Chamber Pres: 17.30 | Throttle: 40.00 | Total Impulse: 0.38
MET: 00:00:01:731 | Thrust:  2.85 | Chamber Pres: 17.26 | Throttle: 40.00 | Total Impulse: 0.41
MET: 00:00:01:858 | Thrust:  2.79 | Chamber Pres: 17.25 | Throttle: 40.00 | Total Impulse: 0.44
MET: 00:00:01:941 | Thrust:  2.66 | Chamber Pres: 17.22 | Throttle: 40.00 | Total Impulse: 0.46
MET: 00:00:02:058 | Thrust:  2.35 | Chamber Pres: 17.26 | Throttle: 40.00 | Total Impulse: 0.49
MET: 00:00:02:115 | Thrust:  2.25 | Chamber Pres: 17.26 | Throttle: 40.00 | Total Impulse: 0.51
MET: 00:00:02:230 | Thrust:  2.09 | Chamber Pres: 17.28 | Throttle: 40.00 | Total Impulse: 0.53
MET: 00:00:02:337 | Thrust:  1.98 | Chamber Pres: 16.90 | Throttle: 35.00 | Total Impulse: 0.55
MET: 00:00:02:456 | Thrust:  1.96 | Chamber Pres: 14.50 | Throttle: 15.00 | Total Impulse: 0.57
MET: 00:00:02:542 | Thrust:  1.86 | Chamber Pres: 13.24 | Throttle: 0.00 | Total Impulse: 0.59
MET: 00:00:02:634 | Thrust:  1.62 | Chamber Pres: 17.63 | Throttle: 0.00 | Total Impulse: 0.60
MET: 00:00:02:724 | Thrust:  1.39 | Chamber Pres: 17.29 | Throttle: 0.00 | Total Impulse: 0.62
MET: 00:00:02:875 | Thrust:  1.25 | Chamber Pres: 17.28 | Throttle: 0.00 | Total Impulse: 0.63
MET: 00:00:02:928 | Thrust:  1.36 | Chamber Pres: 17.30 | Throttle: 0.00 | Total Impulse: 0.64
MET: 00:00:03:023 | Thrust:  1.57 | Chamber Pres: 17.24 | Throttle: 0.00 | Total Impulse: 0.66
MET: 00:00:03:131 | Thrust:  1.89 | Chamber Pres: 17.18 | Throttle: 0.00 | Total Impulse: 0.68
MET: 00:00:03:225 | Thrust:  1.84 | Chamber Pres: 17.13 | Throttle: 0.00 | Total Impulse: 0.70
MET: 00:00:03:322 | Thrust:  1.57 | Chamber Pres: 17.12 | Throttle: 0.00 | Total Impulse: 0.71
MET: 00:00:03:444 | Thrust:  1.66 | Chamber Pres: 17.11 | Throttle: 0.00 | Total Impulse: 0.73
MET: 00:00:03:515 | Thrust:  1.89 | Chamber Pres: 17.02 | Throttle: 0.00 | Total Impulse: 0.75
MET: 00:00:03:627 | Thrust:  2.16 | Chamber Pres: 17.02 | Throttle: 0.00 | Total Impulse: 0.77
